freq_Hz,Sdd11_re,Sdd11_im,Sdd21_re,Sdd21_im,Sdc11_re,Sdc11_im,Scc11_re,Scc11_im
2.668375000000000000e+10,2.460573734192401663e-01,-7.961349664504971391e-02,-4.551705105110860350e-01,-3.418079807026584982e-01,1.093750535646147853e-02,-2.585050082804934632e-02,4.436540964468362325e-01,-1.463522314140850156e-01
2.693312500000000000e+10,2.258147266413944865e-01,-6.885106949019119404e-02,-4.981844328383812082e-01,-2.668283588205271339e-01,7.799212783988977715e-03,-2.869326762600385786e-02,4.447539969829912287e-01,-1.563504523199274465e-01
2.718250000000000000e+10,2.113525579260054355e-01,-5.198045154004685142e-02,-5.280563127233935949e-01,-1.859833893526915138e-01,4.286351203684311481e-03,-3.086175375405404708e-02,4.443998088739045671e-01,-1.662293140355272647e-01
2.743187500000000000e+10,2.041858434700371261e-01,-3.167009646409271739e-02,-5.438699129752621042e-01,-1.021860284236665722e-01,5.238502040285208244e-04,-3.235383310214147434e-02,4.427734727388899505e-01,-1.756280262213155419e-01
2.768125000000000000e+10,2.046110901591115527e-01,-1.079273698985069169e-02,-5.456712234483139801e-01,-1.841223147644789615e-02,-3.380587070532729832e-03,-3.315549904404926918e-02,4.401342977645911758e-01,-1.842628788936350737e-01
2.793062500000000000e+10,2.118436685122653262e-01,8.139858743892487355e-03,-5.343712441295032090e-01,6.274272369845063091e-02,-7.306727390478142715e-03,-3.324295445656917647e-02,4.368036862874415949e-01,-1.919259953919265071e-01
2.818000000000000000e+10,2.244113220056661029e-01,2.333381266926580488e-02,-5.113655139485324685e-01,1.393277127116635261e-01,-1.109949707404058600e-02,-3.260733725356768781e-02,4.331555831218585340e-01,-1.985154151484949669e-01
2.842937500000000000e+10,2.406015589247375852e-01,3.377527072796501773e-02,-4.781471130351381271e-01,2.100358525079349947e-01,-1.457550763601802787e-02,-3.128930094985305638e-02,4.295847154100580489e-01,-2.040604845996908945e-01
2.867875000000000000e+10,2.587813704270560677e-01,3.906854678293911892e-02,-4.360465767804257431e-01,2.740060579133000718e-01,-1.755358833937913782e-02,-2.940198126423607464e-02,4.264544210108123790e-01,-2.087337052410325466e-01
2.892812500000000000e+10,2.775164374306819948e-01,3.920494070603301046e-02,-3.861664148546199993e-01,3.305675821797849911e-01,-1.989585401144785062e-02,-2.713034617519184330e-02,4.240357234603059911e-01,-2.128339488438545091e-01
2.917750000000000000e+10,2.955364025655198290e-01,3.439970893331668889e-02,-3.294680259578202097e-01,3.790546732338375691e-01,-2.154285806045794227e-02,-2.470598422114328452e-02,4.224576692604969375e-01,-2.167375430329670505e-01
2.942687500000000000e+10,3.116538973781367017e-01,2.505257102126924595e-02,-2.669132597260855944e-01,4.187428219218656267e-01,-2.252998079886803576e-02,-2.236571009334746910e-02,4.216873886566483987e-01,-2.208278629747262856e-01
2.967625000000000000e+10,3.247335503711132887e-01,1.180260818483980928e-02,-1.995762337817281740e-01,4.488814288541228548e-01,-2.297976461288046141e-02,-2.030749191234440185e-02,4.215479778274568434e-01,-2.254236494751533648e-01
2.992562500000000000e+10,3.337526053781751378e-01,-4.395346720158363127e-03,-1.286941569971488952e-01,4.687627198006247831e-01,-2.307347001222811653e-02,-1.865699179270603747e-02,4.217685231047412775e-01,-2.307269010779780249e-01
3.017500000000000000e+10,3.379387531879934903e-01,-2.224222532932507851e-02,-5.567614113788146857e-02,4.777798685515610155e-01,-2.301134387083898433e-02,-1.745311234553500318e-02,4.220500826589058674e-01,-2.368033434979628926e-01
