epoch,train_loss,val_loss,train_mae_sdd11_db,train_mae_sdd21_db,val_mae_sdd11_db,val_mae_sdd21_db,val_recip_max,val_passivity_max_sigma,lr,epoch_time_s,delta_re_sub0,delta_im_sub0,delta_re_sub1,delta_im_sub1,delta_re_sub2,delta_im_sub2,delta_re_sub3,delta_im_sub3,delta_re_sub4,delta_im_sub4
1,2.617886206143862,1.7236162022934638,5.694379058029111,9.595475571078858,5.002673376858314,8.42966537440649,0.0,0.9223634345536262,0.0004999143312438893,13.088112115859985,0.227636456489563,0.5706808567047119,0.22950531542301178,0.574360728263855,0.22039762139320374,0.5598768591880798,0.195458322763443,0.6151356101036072,0.04940328374505043,0.6433656215667725
2,1.546593442465028,1.5164249573042736,5.140993303153293,7.560507021258819,5.031961674049342,7.282051677604318,0.0,1.3627273289367419,0.0004996573836886434,12.216556787490845,0.27902042865753174,0.5713270306587219,0.2909499406814575,0.5752595663070679,0.23578187823295593,0.5553234219551086,0.21121986210346222,0.6708889007568359,0.04007841646671295,0.7046167850494385
3,1.4049812794209333,1.4283233548958985,5.062909098904225,6.6645430290953716,4.99821135596115,6.7955971035531055,0.0,1.5964436153399613,0.000499229333433282,11.904799461364746,0.29681292176246643,0.5699238777160645,0.31215351819992065,0.5753272771835327,0.2360088974237442,0.5548438429832458,0.20948833227157593,0.6853196024894714,0.03682148829102516,0.7231590747833252
4,1.3245097067767184,1.4326129594917696,4.979917827462292,6.2136014598304214,5.119181272280448,7.246392976111366,0.0,1.562829183354646,0.0004986304738420682,11.970191717147827,0.3078989088535309,0.5680282115936279,0.3272453844547272,0.5753393769264221,0.23633593320846558,0.5548440217971802,0.20772923529148102,0.6923949718475342,0.032351937144994736,0.7394601702690125
5,1.26470398511709,1.4178959838860499,4.783641157767268,5.842225306747763,5.076785008849588,6.504328670141215,0.0,1.58485785489251,0.0004978612153434525,12.009727239608765,0.3157300651073456,0.5664204955101013,0.3398025631904602,0.5748228430747986,0.23792007565498352,0.5555235743522644,0.20703278481960297,0.6947754621505737,0.0273507721722126,0.7556675672531128
6,1.2067147092207795,1.4422165466578165,4.566749592786796,5.589841195595004,5.400175172018756,6.879366548561919,0.0,1.4444761649475168,0.0004969220851487844,12.003390550613403,0.32207900285720825,0.5655868053436279,0.3498498201370239,0.5748737454414368,0.23991961777210236,0.5552750825881958,0.205759659409523,0.6934650540351868,0.017519254237413406,0.7656621336936951
7,1.1694371187409673,1.4387177987434716,4.406409045673105,5.340303565739034,5.28467207080252,7.194882695099756,0.0,1.5145337539037722,0.0004958137268909886,11.740476131439209,0.3285587728023529,0.5653011202812195,0.359674870967865,0.574907660484314,0.24145245552062988,0.5541903972625732,0.20502232015132904,0.6934143900871277,0.011573604308068752,0.7733797430992126
8,1.1360820249071077,1.4305886806082013,4.311732874230613,5.173884572319688,5.36519756224898,7.0451020420465955,0.0,1.4398037669965889,0.0004945369001834513,11.924607038497925,0.3347909152507782,0.5649799704551697,0.36952725052833557,0.5749197006225586,0.24426722526550293,0.5523971319198608,0.20429611206054688,0.6956908106803894,0.00769676361232996,0.7792346477508545
9,1.116647372979884,1.4118972226186237,4.26323478302952,5.083440325423282,5.34977420841331,6.877157433845859,0.0,1.5030900555495152,0.000493092480099419,11.834112882614136,0.3404094874858856,0.5643635392189026,0.3789619207382202,0.574904203414917,0.24546946585178375,0.5521438121795654,0.20293113589286804,0.6950336694717407,0.005889303050935268,0.7845213413238525
10,1.0933801931781681,1.4313735151200149,4.176758789053839,4.9480925077040325,5.425899701959195,6.818566276323889,0.0,1.5120073250295356,0.0004914814565722669,11.87383246421814,0.34552571177482605,0.5637184977531433,0.38781654834747314,0.5748751759529114,0.24750837683677673,0.551841676235199,0.20142316818237305,0.6985913515090942,0.003588796593248844,0.7908165454864502
11,1.0827555389587054,1.436327088583768,4.139955559838963,4.890995138721524,5.491002136303398,6.937462566663311,0.0,1.5169830845428698,0.0004897049337170481,11.678101301193237,0.35003337264060974,0.5640087127685547,0.396684467792511,0.574847400188446,0.24961435794830322,0.5504158139228821,0.20003321766853333,0.7012649178504944,0.006134561263024807,0.7943678498268127
12,1.0675908217357168,1.4430823745174617,4.08276681285524,4.8285856722571685,5.51062970616754,7.4176460814835945,0.0,1.5494834974776648,0.00048776412907378824,11.955497026443481,0.35532206296920776,0.5678125619888306,0.40455183386802673,0.5748122334480286,0.2515588700771332,0.5498188138008118,0.1973799765110016,0.7016570568084717,0.006813209969550371,0.8001160621643066
13,1.0521306432269355,1.4487656635947257,4.037274224605677,4.781356416115293,5.476241314555332,7.120035399647846,0.0,1.6572281542312155,0.0004856603727730445,12.00670862197876,0.359381765127182,0.5668573379516602,0.4128953218460083,0.5747678279876709,0.25348877906799316,0.5492576360702515,0.19661860167980194,0.7001237869262695,0.00828941073268652,0.8035276532173157
14,1.0435045700752437,1.4414021065921772,3.9815623015285437,4.718149402272167,5.456389814205614,6.806183754333119,0.0,1.585372606683944,0.0004833951066243003,12.082739353179932,0.36379197239875793,0.5589876770973206,0.4208389222621918,0.574723482131958,0.25508806109428406,0.5478578805923462,0.1956840306520462,0.6998977661132812,0.008898799307644367,0.8070336580276489
15,1.0364179138790157,1.449487035085283,3.961719436851338,4.668055784574904,5.428623701770445,6.700054677698589,0.0,1.7526510339081718,0.00048096988312782156,11.977824449539185,0.3679109513759613,0.5586629509925842,0.42918509244918823,0.5746675729751587,0.25637537240982056,0.5474996566772461,0.19553786516189575,0.7004337906837463,0.007616804447025061,0.8108319640159607
16,1.026815338047944,1.4390108841292755,3.9198575514100282,4.626708396156224,5.45846414686945,7.184436514311804,0.0,1.6677995950733646,0.00047838636441065006,12.115325689315796,0.3716251254081726,0.5582828521728516,0.43771544098854065,0.5746104717254639,0.25809672474861145,0.5464144349098206,0.19526407122612,0.6988620162010193,0.006758015137165785,0.8139086961746216
17,1.0174284481947706,1.4819492489067876,3.896858106152764,4.548470743853973,5.388375562733962,7.2407149810342775,0.0,1.740500879992205,0.0004756463210874651,11.902528285980225,0.3757229745388031,0.5579512715339661,0.44581541419029236,0.5745318531990051,0.26005667448043823,0.5453059077262878,0.19544298946857452,0.6975991129875183,0.006506219506263733,0.8169398903846741
18,1.0089489514544583,1.4370360566343394,3.873995261037337,4.506621683535426,5.40141405753469,7.035343108561538,0.0,1.719714064958181,0.00047275163104709185,11.684762001037598,0.3795354962348938,0.5577173829078674,0.4548737704753876,0.5745042562484741,0.2613070607185364,0.5444523096084595,0.1952780932188034,0.6965159773826599,0.006096286233514547,0.8193701505661011
19,1.0009719894023201,1.438340184674352,3.845581678110843,4.445376959804612,5.322422786209839,7.178183936621806,0.0,1.6807847338575486,0.0004697042781654912,11.876846075057983,0.3827575743198395,0.5569949150085449,0.4644589126110077,0.5744445323944092,0.2627595067024231,0.5435571670532227,0.1953057050704956,0.6941518783569336,0.005039340816438198,0.8224923014640808
20,0.997156057354356,1.457137692463353,3.8447532705374488,4.434608644890525,5.265614572446793,7.047066429451536,0.0,1.604181151178291,0.0004665063509461096,11.734001159667969,0.38587525486946106,0.5568537712097168,0.4634261131286621,0.5790010094642639,0.2640766203403473,0.5433658361434937,0.19572442770004272,0.6917319893836975,0.004835220985114574,0.8241710066795349
21,1.0019966158972,1.4342708734297918,3.862403140643706,4.447475031686364,5.256855781338315,6.972797470633323,0.0,1.7174832812272205,0.00046316004108852294,11.626259088516235,0.3891257345676422,0.5561877489089966,0.48086342215538025,0.5781635642051697,0.26557859778404236,0.5427160263061523,0.19651634991168976,0.6901261806488037,0.004857898224145174,0.8268652558326721
22,0.982367116334321,1.4353288638406978,3.7810821546200337,4.341565146838863,5.362127352769269,6.963195579134274,0.0,1.7501726043576635,0.0004596676419863559,11.75957727432251,0.39271479845046997,0.5554931163787842,0.4872533679008484,0.5780742764472961,0.26712942123413086,0.5413682460784912,0.1958846151828766,0.6874455213546753,0.005747433751821518,0.8290219902992249
23,0.9699759487529168,1.437403438855269,3.7459760219848626,4.284976507414881,5.306607193054849,6.749511342492962,0.0,1.78229319595955,0.0004560315471555038,12.089216947555542,0.3958393633365631,0.5545310378074646,0.49359723925590515,0.5779840350151062,0.2686416208744049,0.5402530431747437,0.19632381200790405,0.6850688457489014,0.008285881020128727,0.8311225175857544
24,0.9645380880678103,1.4442406880032215,3.726277935390125,4.258253029909193,5.364260930153138,7.291983969666481,0.0,1.5931067490293829,0.00045225424859373677,12.179654598236084,0.4000546634197235,0.5540007948875427,0.5042356848716736,0.5779087543487549,0.26998940110206604,0.5401102304458618,0.1962841898202896,0.6838613748550415,0.009930651634931564,0.8338746428489685
25,0.9547978717628821,1.4480088828739595,3.688678363877506,4.213997401360526,5.535264784569937,7.169888391844604,0.0,1.6494655927554447,0.0004483383350728087,12.540641784667969,0.40308043360710144,0.5533648133277893,0.510942280292511,0.5778197050094604,0.2711455821990967,0.5391679406166077,0.1961483508348465,0.6815096735954285,0.010896670632064342,0.8357080221176147
