trace,band,mean_dB,max_dB,mean_dB_floored,mean_linear
Sdd11,0-14,15.88,45.841,9.809,0.1728
Sdd11,14-28,15.228,34.145,14.711,0.4028
Sdd11,28-56,4.375,21.618,4.375,0.1989
Sdd11,56-100,6.062,28.934,6.026,0.2494
Sdd21,0-14,0.951,2.82,0.951,0.096
Sdd21,14-28,2.033,3.951,2.033,0.1654
Sdd21,28-56,4.268,11.913,4.268,0.1389
Sdd21,56-100,4.954,14.274,4.954,0.0914
Scc11,0-14,5.79,16.824,5.79,0.1934
Scc11,14-28,6.487,9.178,6.487,0.3546
Scc11,28-56,3.725,21.516,3.725,0.2177
Scc11,56-100,5.787,21.801,5.787,0.2567
Scd21,0-14,3.495,6.932,3.246,0.0318
Scd21,14-28,3.448,6.031,3.448,0.0418
Scd21,28-56,10.333,23.498,8.454,0.0761
Scd21,56-100,10.974,33.213,8.544,0.0854
