trace,band,mean_dB,max_dB,mean_dB_floored,mean_linear
Sdd11,0-14,2.843,11.873,2.825,0.0589
Sdd11,14-28,3.768,8.342,3.768,0.0961
Sdd11,28-56,4.78,8.498,4.78,0.1207
Sdd11,56-100,2.562,10.174,2.562,0.0506
Sdd21,0-14,0.962,1.147,0.962,0.0943
Sdd21,14-28,0.5,1.196,0.5,0.0389
Sdd21,28-56,2.84,20.771,1.842,0.0269
Sdd21,56-100,4.167,16.021,1.018,0.0111
Scc11,0-14,1.369,5.175,1.369,0.047
Scc11,14-28,1.399,2.345,1.399,0.0608
Scc11,28-56,3.175,8.649,3.175,0.0912
Scc11,56-100,3.455,8.379,3.455,0.0605
Scd21,0-14,3.467,8.976,2.048,0.0128
Scd21,14-28,12.894,19.603,7.894,0.0596
Scd21,28-56,3.713,9.638,2.881,0.0204
Scd21,56-100,8.576,26.93,3.852,0.031
