trace,band,mean_dB,max_dB,mean_dB_floored,mean_linear
Sdd11,0-14,4.297,11.406,4.297,0.1019
Sdd11,14-28,4.175,11.673,4.175,0.1049
Sdd11,28-56,8.855,16.469,8.855,0.1622
Sdd11,56-100,1.359,4.062,1.359,0.0297
Sdd21,0-14,1.035,1.38,1.035,0.096
Sdd21,14-28,1.144,2.2,1.144,0.0615
Sdd21,28-56,1.012,4.733,1.002,0.0152
Sdd21,56-100,13.863,34.347,6.463,0.0559
Scc11,0-14,1.6,3.872,1.6,0.067
Scc11,14-28,4.761,8.608,4.761,0.1468
Scc11,28-56,4.214,10.095,4.214,0.1001
Scc11,56-100,2.661,4.423,2.661,0.0458
Scd21,0-14,3.948,8.928,2.846,0.0315
Scd21,14-28,7.82,18.234,6.926,0.0615
Scd21,28-56,5.443,23.502,1.682,0.0174
Scd21,56-100,11.952,53.824,5.831,0.0464
