trace,band,mean_dB,max_dB,mean_dB_floored,mean_linear
Sdd11,0-14,8.495,29.919,8.307,0.1283
Sdd11,14-28,11.67,19.538,11.67,0.3689
Sdd11,28-56,3.814,33.237,3.71,0.2003
Sdd11,56-100,4.171,11.655,4.171,0.2281
Sdd21,0-14,2.382,2.819,2.382,0.2085
Sdd21,14-28,2.434,3.248,2.434,0.1304
Sdd21,28-56,5.392,28.319,4.173,0.0469
Sdd21,56-100,10.073,33.067,8.179,0.1065
Scc11,0-14,6.332,17.556,6.332,0.1436
Scc11,14-28,4.367,6.203,4.367,0.2696
Scc11,28-56,3.771,13.301,3.771,0.2244
Scc11,56-100,6.505,20.215,6.505,0.2999
Scd21,0-14,3.82,9.743,2.625,0.0221
Scd21,14-28,6.128,13.029,5.525,0.0427
Scd21,28-56,6.665,31.755,1.505,0.0167
Scd21,56-100,8.809,36.407,0.87,0.0107
