trace,band,mean_dB,max_dB,mean_dB_floored,mean_linear
Sdd11,0-14,9.063,30.695,8.668,0.1219
Sdd11,14-28,11.572,22.035,11.527,0.2157
Sdd11,28-56,6.064,13.06,6.064,0.2172
Sdd11,56-100,5.661,17.791,5.661,0.2071
Sdd21,0-14,1.273,1.531,1.273,0.128
Sdd21,14-28,2.099,3.603,2.099,0.1483
Sdd21,28-56,2.866,5.631,2.866,0.0787
Sdd21,56-100,11.732,30.759,11.509,0.3345
Scc11,0-14,9.366,40.33,7.914,0.0969
Scc11,14-28,5.009,7.285,5.009,0.2182
Scc11,28-56,5.222,28.855,5.169,0.1787
Scc11,56-100,5.528,10.484,5.528,0.2111
Scd21,0-14,1.591,13.105,0.706,0.0057
Scd21,14-28,4.044,10.542,1.496,0.0152
Scd21,28-56,4.45,12.92,2.394,0.0199
Scd21,56-100,8.813,21.861,6.444,0.0499
