trace,band,mean_dB,max_dB,mean_dB_floored,mean_linear
Sdd11,0-14,16.095,56.32,10.961,0.1805
Sdd11,14-28,17.479,29.642,16.957,0.4032
Sdd11,28-56,4.442,18.102,4.442,0.2366
Sdd11,56-100,7.183,32.977,7.038,0.2983
Sdd21,0-14,0.767,2.643,0.767,0.0792
Sdd21,14-28,1.773,3.264,1.773,0.1576
Sdd21,28-56,3.06,8.878,3.06,0.1602
Sdd21,56-100,5.815,15.726,5.815,0.1634
Scc11,0-14,8.355,28.122,8.19,0.2188
Scc11,14-28,8.905,28.533,8.825,0.4031
Scc11,28-56,3.379,12.338,3.379,0.2489
Scc11,56-100,6.025,22.011,6.025,0.2943
Scd21,0-14,5.632,27.214,0.937,0.014
Scd21,14-28,5.068,14.312,5.028,0.0555
Scd21,28-56,6.724,31.586,6.051,0.0557
Scd21,56-100,8.027,35.787,5.081,0.0481
