epoch,train_loss,val_loss,train_mae_sdd11_db,train_mae_sdd21_db,val_mae_sdd11_db,val_mae_sdd21_db,val_recip_max,val_passivity_max_sigma,lr,epoch_time_s,delta_re_sub0,delta_im_sub0,delta_re_sub1,delta_im_sub1,delta_re_sub2,delta_im_sub2,delta_re_sub3,delta_im_sub3,delta_re_sub4,delta_im_sub4
1,23.711507393362183,15.374389889336808,5.892263424142758,9.426761087279086,5.066198460398906,8.045417416314566,0.0,0.9350662735699802,0.0004999451708687113,12.319016456604004,0.2029581367969513,0.5824155807495117,0.21282705664634705,0.5212448835372925,0.22072751820087433,0.5637437701225281,0.19803541898727417,0.5915521383285522,0.05131404846906662,0.6332156658172607
2,13.819839608641969,12.668371385622116,5.187926718661638,7.645748643604186,5.08426650059508,7.391097109675519,0.0,1.6123372485915108,0.0004997807075247146,11.684009075164795,0.28930559754371643,0.5844725370407104,0.29031142592430115,0.5241182446479797,0.2988620102405548,0.5657351613044739,0.21469783782958984,0.6247514486312866,0.03915489464998245,0.696476399898529
3,12.024757962687906,12.021324807071318,5.096125611223347,6.787620166457772,4.959246998359099,6.782583783945397,0.0,1.4059870465867388,0.0004995066821070679,11.301186561584473,0.30997082591056824,0.5844227075576782,0.30689606070518494,0.5244066119194031,0.31626826524734497,0.5656792521476746,0.2062717080116272,0.6274126768112183,0.03513118624687195,0.7102336287498474
4,11.202546567355759,11.761584697899572,5.02957562026224,6.250050745952451,4.949887175544443,6.711062370630737,0.0,1.435245437974089,0.0004991232148123761,11.22147011756897,0.3257516920566559,0.5842809677124023,0.31658366322517395,0.5246314406394958,0.3265818953514099,0.5657706260681152,0.20394553244113922,0.623787522315979,0.03248222917318344,0.7180591225624084
5,10.599194568192905,11.746800370405525,4.938172324058256,5.917147097190655,4.980393099751195,6.660452179334097,0.0,1.3730346718127397,0.0004986304738420684,11.08509373664856,0.33830729126930237,0.5838618278503418,0.3247070014476776,0.5250598192214966,0.33543920516967773,0.5658798813819885,0.20168547332286835,0.6243100166320801,0.03065147064626217,0.7269411087036133
6,10.101570187629559,11.947171174342127,4.768236016106103,5.6616682282921,5.190728628861583,6.811994230203574,0.0,1.4657686180994012,0.0004980286753286195,11.432943344116211,0.34751445055007935,0.5834166407585144,0.33046671748161316,0.5252725481987,0.34199658036231995,0.565856397151947,0.19951190054416656,0.6242711544036865,0.02847672812640667,0.7379800081253052
7,9.736927601750759,12.08293376776698,4.585804241651792,5.442170717461193,5.247085934187887,6.9224723958947365,0.0,1.7355384145566817,0.000497318083240747,11.326043128967285,0.35524287819862366,0.5828428268432617,0.3369371294975281,0.5255499482154846,0.349690705537796,0.5658938884735107,0.1980329155921936,0.623939573764801,0.02841358631849289,0.743813157081604
8,9.457791396505206,12.159387183477333,4.479763724618151,5.213534379053052,5.275499531408367,6.7576838990363015,0.0,1.664362559626553,0.0004964990092676262,11.163861513137817,0.3634365499019623,0.5824947357177734,0.34470134973526,0.5259155035018921,0.3577572703361511,0.5660234093666077,0.19800503551959991,0.6231876611709595,0.030582133680582047,0.7504086494445801
9,9.185088469257705,12.081016570770574,4.398556463444364,5.04953276262125,5.3134595398253275,6.813233421727967,0.0,1.4959914820891882,0.0004955718126821722,11.073735237121582,0.36973580718040466,0.5818113684654236,0.3521672785282135,0.5262702107429504,0.36535337567329407,0.5661188364028931,0.19659684598445892,0.6226741075515747,0.03393780440092087,0.7534286379814148
10,8.985850261750555,12.009908822983665,4.33473248271903,4.9192757918382055,5.202643050287085,6.977523381550001,0.0,1.5735858836077963,0.0004945369001834514,11.046705961227417,0.3758736848831177,0.5817412734031677,0.35893714427948,0.5264871716499329,0.3726262152194977,0.5662053227424622,0.19609911739826202,0.6218992471694946,0.03950569033622742,0.7548400163650513
