epoch,train_loss,val_loss,train_mae_sdd11_db,train_mae_sdd21_db,val_mae_sdd11_db,val_mae_sdd21_db,val_recip_max,val_passivity_max_sigma,lr,epoch_time_s,delta_sub0,delta_sub1,delta_sub2,delta_sub3,delta_sub4
1,2.432693997954415,1.6721518333352299,5.756202850078572,8.965922118887061,5.230983725534765,8.046651365101658,0.0,0.9387270316196611,0.0004999143312438893,12.684536457061768,0.6462420225143433,0.6531777381896973,0.6424866318702698,0.6342219114303589,0.6488403081893921
2,1.577505566784909,1.5302368311246943,5.324202759856026,7.494124610144872,5.090466193616395,7.493492752527096,0.0,1.3522721227398384,0.0004996573836886434,12.29231882095337,0.6606257557868958,0.7015382051467896,0.6605398058891296,0.6410784125328064,0.6799091100692749
3,1.472739061232395,1.490026283178285,5.21333380083735,6.749912027679054,5.032813383308751,7.566425886076667,0.0,1.7450826510665567,0.000499229333433282,12.256015539169312,0.6519606709480286,0.7216621041297913,0.6726201772689819,0.6371495127677917,0.6895362734794617
4,1.3783536184511826,1.4302627187409565,5.145169599392975,6.3321622247296405,5.094197418997886,6.795516181357066,0.0,1.5590918295164375,0.0004986304738420682,12.163016557693481,0.6499502062797546,0.7338106632232666,0.6801742315292358,0.6394021511077881,0.7020873427391052
5,1.3045727993908411,1.435924249390384,4.958873943774524,6.115000110538629,5.1429753931455116,6.665886125065374,0.0,1.7149433116664203,0.0004978612153434525,12.259718418121338,0.6483630537986755,0.7447043061256409,0.6855530738830566,0.6424387693405151,0.7177355885505676
6,1.2406094574241346,1.425491442906531,4.681911761042529,5.890990203843712,5.14093650934019,6.868899240526227,0.0,1.533920764799295,0.0004969220851487844,12.113799333572388,0.6471070051193237,0.753663182258606,0.6895496845245361,0.6438381671905518,0.7289520502090454
7,1.2049666138597832,1.4466065300542916,4.5378876272929025,5.627320202617557,5.20310881001734,6.76790874811292,0.0,1.4028933129246088,0.0004958137268909886,11.960158109664917,0.6453395485877991,0.761986255645752,0.6933991312980652,0.6457761526107788,0.7355566620826721
8,1.1698738727168823,1.4274389747793377,4.427384596560161,5.390489313661868,5.3081700857057355,6.915612951493232,0.0,1.4655944520862665,0.0004945369001834513,12.037174940109253,0.6447871327400208,0.7697218656539917,0.6958577632904053,0.6464017033576965,0.7395541667938232
9,1.1309462811963193,1.4530664718488202,4.304405603404591,5.091084384575385,5.219238987535175,7.012208450894957,0.0,1.3458326403187406,0.000493092480099419,12.345784425735474,0.6439806818962097,0.7768898010253906,0.6978143453598022,0.646729052066803,0.7445732951164246
10,1.1108238329130147,1.430679413579436,4.253009145274888,4.959209918359231,5.222501636029703,7.078336135323076,0.0,1.3779363074558526,0.0004914814565722669,12.663702011108398,0.6435691714286804,0.7851998209953308,0.7004849314689636,0.6472605466842651,0.7507193684577942
11,1.0898210073242067,1.4369379006732002,4.187987170312583,4.833672692505534,5.4112743234479925,6.66466110891464,0.0,1.3894763026614816,0.0004897049337170481,12.250739097595215,0.6438283324241638,0.7929902076721191,0.702902615070343,0.6477259397506714,0.7558032870292664
12,1.0728980466495428,1.4513541690570675,4.124364011422359,4.730092052902395,5.388907651065006,7.262907753000723,0.0,1.557206508132802,0.00048776412907378824,11.877359867095947,0.6431704163551331,0.8005152344703674,0.7048116326332092,0.6485055088996887,0.7604585886001587
13,1.0587832047728356,1.45352070447556,4.066469268565927,4.641973934990391,5.348932923552302,7.30350461077334,0.0,1.561701042475917,0.0004856603727730445,12.909302711486816,0.6435737013816833,0.8076028823852539,0.7062169909477234,0.6481602787971497,0.7657126784324646
14,1.0529845724941638,1.4405189680848434,4.049257609793258,4.612428989332238,5.567753576311996,7.259509329376483,0.0,1.5239907032220943,0.0004833951066243003,12.720772504806519,0.6438350081443787,0.8163938522338867,0.7087608575820923,0.6488086581230164,0.7715534567832947
15,1.0391278129724923,1.4503582856206634,3.9980739554590627,4.511906395908049,5.410467152249911,7.124583890647756,0.0,1.6994963628708866,0.00048096988312782156,12.649060010910034,0.6446803212165833,0.8245415687561035,0.711001455783844,0.6487162709236145,0.7768517732620239
16,1.026935435854484,1.4371001453371817,3.947833536774724,4.449944090048983,5.385116347316798,6.909935742795628,0.0,1.6744569988555837,0.00047838636441065006,12.539382219314575,0.6445831656455994,0.8336674571037292,0.7130262851715088,0.6482919454574585,0.7812356352806091
17,1.0194913480036862,1.4404544817638014,3.9196307739640512,4.4019372141024915,5.538325776685407,7.3845419178260965,0.0,1.6193972980547269,0.0004756463210874651,12.77121353149414,0.6450431942939758,0.8407202959060669,0.7142622470855713,0.648715078830719,0.785632312297821
18,1.0095607597289518,1.4520385390563666,3.8813228111670157,4.353508357432501,5.450795751836153,6.912761195178218,0.0,1.7116694133903525,0.00047275163104709185,12.392674922943115,0.6455851793289185,0.8515377044677734,0.7159765362739563,0.648373007774353,0.7903172373771667
19,1.0031895958863255,1.4194411562167866,3.873058357844026,4.320254597500846,5.405137434382113,6.97308012724629,0.0,1.5727866552285659,0.0004697042781654912,12.31233024597168,0.6457767486572266,0.8594847321510315,0.7171244025230408,0.6476956605911255,0.7949842214584351
20,0.9968670330398242,1.4239392081091728,3.8399435297407054,4.275958131540309,5.455698488769821,6.867186792113497,0.0,1.6458928192308688,0.0004665063509461096,12.285575151443481,0.6460402607917786,0.868977427482605,0.7191048264503479,0.6478546261787415,0.8000693321228027
21,0.9866405024008047,1.452425323526969,3.804650371990771,4.236459901442733,5.508932656530342,7.157939452548857,0.0,1.701345490566546,0.00046316004108852294,12.547029972076416,0.6461807489395142,0.8764215707778931,0.720582902431488,0.6476423740386963,0.8044244050979614
22,0.9798300460200507,1.439808668543304,3.779188357544451,4.205455239038966,5.496887801186012,7.009150130174163,0.0,1.733693481942702,0.0004596676419863559,12.086347341537476,0.6464220285415649,0.8857988715171814,0.7223608493804932,0.6474192142486572,0.8089154362678528
23,0.971587755893459,1.429716199834057,3.750074751779337,4.173482983679492,5.475709009084434,6.951538458760733,0.0,1.5958300955968676,0.0004560315471555038,12.144644260406494,0.6467054486274719,0.8942632079124451,0.7234704494476318,0.6468151807785034,0.8130220174789429
24,0.966138114547243,1.4377361432707827,3.7304281620274016,4.148673238813135,5.355370037207696,6.896721527305015,0.0,1.6078075945591852,0.00045225424859373677,12.085877656936646,0.6468960642814636,0.9036296010017395,0.7249525785446167,0.6464098691940308,0.8160510659217834
25,0.9607721290559088,1.4326079928765527,3.699924836996073,4.13575895242156,5.467340608367514,7.08917986832781,0.0,1.6477395196287408,0.0004483383350728087,12.381526470184326,0.6469096541404724,0.912740170955658,0.7266092300415039,0.6469759941101074,0.8197816014289856
