epoch,train_loss,val_loss,train_mae_sdd11_db,train_mae_sdd21_db,val_mae_sdd11_db,val_mae_sdd21_db,lr,epoch_time_s
1,0.10598116216059102,0.0721431493623666,6.207158574532674,15.157978264881448,5.566448471625346,14.086300221617538,0.0009996145181203615,5.928132772445679
2,0.0630363254090714,0.07104994351943475,5.880876307315722,14.476431398240246,6.309526211966965,14.15576111259179,0.000998458666866564,5.7208075523376465
3,0.05674218565749059,0.077589422217161,5.588868520686947,14.042158421799677,6.317418970975177,14.333990334400053,0.0009965342284774632,5.646704912185669
4,0.04900841837376698,0.08170014715771745,5.1670115069367695,13.749650312088196,6.645416901993643,13.433386274646452,0.0009938441702975688,5.668081521987915
5,0.042921860613828036,0.08432062145158692,4.8096009197046525,13.337218321872445,6.623542991029421,13.749661068049015,0.0009903926402016151,5.657902479171753
6,0.03758854356849958,0.09179490591966773,4.466499823576327,12.993362575661958,6.346798485269634,13.30551001819387,0.0009861849601988382,5.694432973861694
7,0.033307991971144035,0.09922078047447455,4.19333096741144,12.510841331884818,6.5997080078083,12.678985266639511,0.0009812276182268236,4.988311529159546
8,0.029692438157681092,0.09777820887033505,3.9422433239169874,12.119426155947071,6.546513396137277,12.88014569573803,0.0009755282581475768,5.713323593139648
9,0.026898973411732103,0.0988285220796208,3.771804515471185,11.709605933817889,6.1811021495447545,12.493972786812606,0.0009690956679612421,5.666198968887329
10,0.024418766925199904,0.10055795593622076,3.5955800285754247,11.398748929466521,6.596960633284462,12.378657063085257,0.0009619397662556433,5.677895545959473
11,0.02223656582371477,0.09913938832721317,3.477059360532884,11.029344980324124,6.78895135119247,12.338581943843616,0.0009540715869125406,5.663473844528198
12,0.020826096495976446,0.10233584820335995,3.3855735092761936,10.753456918879898,6.675090595896671,12.15805040724687,0.0009455032620941839,5.626398801803589
