epoch,train_loss,val_loss,train_mae_sdd11_db,train_mae_sdd21_db,val_mae_sdd11_db,val_mae_sdd21_db,val_recip_max,val_passivity_max_sigma,lr,delta_scale,epoch_time_s
1,6.705331758479579,2.412341099199316,9.019883055302012,12.723898167619275,5.12308521085277,9.372816190702958,0.0,0.611704085605559,0.0004999143312438893,0.6803602576255798,11.281982660293579
2,2.071719676721087,2.028357587614161,5.339669059380418,9.314226846171197,5.253991679072985,9.445265588273847,0.0,0.5451400304020895,0.0004996573836886434,0.7399624586105347,10.732066631317139
3,1.9338089694475875,1.7508907183632958,5.360906123338195,9.416071559927577,5.086378900723355,9.201625110163233,0.0,0.6027419037373728,0.000499229333433282,0.7758502960205078,10.781940460205078
4,1.6721353809955302,1.62887783197508,5.298096624055132,8.33356148323471,5.144002331411624,8.126403399642522,0.0,0.9715642190641469,0.0004986304738420682,0.7930707931518555,10.596801519393921
5,1.6125690034965092,1.6510674949518966,5.266864711515251,7.922618198127111,5.2773203740764245,7.988756526005465,0.0,0.9051725987821023,0.0004978612153434525,0.8060025572776794,10.760623216629028
6,1.5348070347034408,1.6035233776887359,5.1890152180520746,7.169557251616426,5.149912110190642,7.662821783228577,0.0,1.069496353153433,0.0004969220851487844,0.8129718899726868,10.525310277938843
7,1.4723776041110326,1.5516332813340743,5.185132474353133,6.429096671180015,5.116461828281685,7.0295005264716375,0.0,1.2069299173300514,0.0004958137268909886,0.817004919052124,10.458432674407959
8,1.3977198398851294,1.5122812003182824,5.12726520483728,5.983716731135701,5.175160943728988,7.00808893026161,0.0,1.3821938978037165,0.0004945369001834513,0.8219203352928162,10.472728490829468
9,1.3328512760910651,1.5190301614638484,4.883088517159032,5.664809853152486,5.3250576779320395,7.089379346071186,0.0,1.3184278953598199,0.000493092480099419,0.8272764086723328,10.181451320648193
10,1.28892929106076,1.5384375127076113,4.758937330904947,5.453328556260617,5.536222726971399,6.886476340580042,0.0,1.4120565003323298,0.0004914814565722669,0.8319256901741028,10.492995262145996
11,1.2636370224459488,1.4983560769766064,4.71810776801136,5.283570019521628,5.375225616187361,6.860950745982209,0.0,1.3512882444479717,0.0004897049337170481,0.8369482755661011,10.492655277252197
12,1.2384514705601224,1.4987662266514212,4.6851417170115015,5.145676373052081,5.430580316908825,6.944988829530112,0.0,1.3872702638955239,0.00048776412907378824,0.8408094048500061,10.357292175292969
13,1.2070813260278388,1.50204719965362,4.623304836527229,5.0164790532076555,5.554105917289327,6.834696486187449,0.0,1.4397571045780728,0.0004856603727730445,0.8448659181594849,10.436927795410156
14,1.1981520806445498,1.5030619964755068,4.607429794234548,4.959585405634952,5.466693703509893,6.778724879362795,0.0,1.4554102793200387,0.0004833951066243003,0.8483524322509766,10.353659391403198
15,1.1827990348520148,1.5036165418964993,4.572023101597987,4.882880399201326,5.484915342133765,6.750776666511245,0.0,1.4966539930552565,0.00048096988312782156,0.8517662882804871,10.507310628890991
16,1.1719389277160037,1.4849233938723287,4.528577844650686,4.861013924440784,5.524982348116991,6.813863195547557,0.0,1.4040287132041658,0.00047838636441065006,0.8539824485778809,10.551642894744873
17,1.160767030737542,1.497500943311697,4.503621982888999,4.792625991577224,5.4611917205353695,6.813925410526308,0.0,1.5568008279481798,0.0004756463210874651,0.8566697835922241,10.511702060699463
18,1.1500233884818614,1.501506611618472,4.453771187931855,4.753573867472311,5.518576250407768,7.0106165510237695,0.0,1.5258456133758644,0.00047275163104709185,0.8595439791679382,10.457243919372559
19,1.141126880498317,1.511848236310152,4.416204901420147,4.7282833764375445,5.481442910171902,7.20752081759057,0.0,1.4375682682590731,0.0004697042781654912,0.8640841245651245,10.483920812606812
20,1.1352625474438451,1.4977652069733112,4.389069057554274,4.712945899051797,5.519006921005895,6.778386276537493,0.0,1.4897845029672672,0.0004665063509461096,0.8681749701499939,10.55980110168457
21,1.1252417607817753,1.495320412352596,4.349082360175218,4.661413280322254,5.520799137027703,6.751204082245894,0.0,1.5669380108812831,0.00046316004108852294,0.8711869120597839,10.609666585922241
22,1.1171293429365068,1.5119120557910257,4.33675776841047,4.640484041009565,5.580978163955826,6.8316880720819295,0.0,1.5537837963505179,0.0004596676419863559,0.8738501071929932,10.51538372039795
23,1.1153139840723298,1.5171868109372706,4.325418092197407,4.65103773256588,5.634638192868797,7.044676080202499,0.0,1.5166302273691186,0.0004560315471555038,0.8766637444496155,10.543582916259766
24,1.1050416917332462,1.509486488168696,4.293388193325321,4.592854960884219,5.581056787137937,7.238503068154194,0.0,1.4287644545776923,0.00045225424859373677,0.879715085029602,10.507428407669067
25,1.0957734175950797,1.4982676069491505,4.262401741175883,4.562292606460408,5.500298140772449,7.11460738096594,0.0,1.5191742382033286,0.0004483383350728087,0.8819862604141235,10.508251428604126
26,1.0961642511252818,1.487251298421633,4.264068517511014,4.557128653316532,5.57499521062209,6.831859667611771,0.0,1.5720247024036411,0.00044428649036424265,0.8837882876396179,10.55477261543274
27,1.0874234769662874,1.4915922472400855,4.246545416446479,4.548154090291707,5.639927054958032,6.919795232942215,0.0,1.5041491371066713,0.0004401014914000077,0.8855288624763489,10.334411382675171
