rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,10,3.122,82.1,80.36,83.72,0.004337,0.03648,2.097,design_sample_9678_wc_L1_ipc_s0.5_r10.npz
2,2,3.246,81.55,79.79,83.19,0.005052,0.084907,2.356,design_sample_9678_wc_L1_ipc_s0.5_r02.npz
3,1,2.612,81.5,79.74,83.14,0.00489,0.045784,1.414,design_sample_9678_wc_L1_ipc_s0.5_r01.npz
4,4,2.489,81.05,79.27,82.71,0.005964,0.020321,1.207,design_sample_9678_wc_L1_ipc_s0.5_r04.npz
5,3,2.474,77.95,76.08,79.71,0.003804,0.023091,1.72,design_sample_9678_wc_L1_ipc_s0.5_r03.npz
6,7,2.266,77.55,75.67,79.32,0.006736,0.033684,2.537,design_sample_9678_wc_L1_ipc_s0.5_r07.npz
7,8,3.321,76.15,74.23,77.97,0.005773,0.090643,2.155,design_sample_9678_wc_L1_ipc_s0.5_r08.npz
8,11,3.255,75.25,73.31,77.09,0.004842,0.093489,2.595,design_sample_9678_wc_L1_ipc_s0.5_r11.npz
9,0,2.41,69.1,67.04,71.09,0.004228,0.017597,1.579,design_sample_9678_wc_L1_ipc_s0.5_r00.npz
10,6,3.43,59.8,57.63,61.93,0.010539,0.155318,2.761,design_sample_9678_wc_L1_ipc_s0.5_r06.npz
11,9,3.298,42.3,40.15,44.48,0.004051,0.108974,2.188,design_sample_9678_wc_L1_ipc_s0.5_r09.npz
12,5,3.599,0.0,0.0,0.19,0.003565,0.133388,1.995,design_sample_9678_wc_L1_ipc_s0.5_r05.npz
