rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,6,1.163,99.6,99.21,99.8,0.005595,0.045551,1.086,design_sample_2276_wc_L1_ipc_r06.npz
2,9,1.173,99.45,99.02,99.69,0.005823,0.045647,0.987,design_sample_2276_wc_L1_ipc_r09.npz
3,1,1.167,99.4,98.95,99.66,0.005847,0.045623,0.995,design_sample_2276_wc_L1_ipc_r01.npz
4,8,1.193,99.4,98.95,99.66,0.006007,0.045574,0.983,design_sample_2276_wc_L1_ipc_r08.npz
5,3,1.19,99.25,98.77,99.54,0.006109,0.045547,0.986,design_sample_2276_wc_L1_ipc_r03.npz
6,0,1.189,99.2,98.7,99.51,0.006001,0.04558,0.983,design_sample_2276_wc_L1_ipc_r00.npz
7,4,1.187,99.2,98.7,99.51,0.006051,0.045575,0.982,design_sample_2276_wc_L1_ipc_r04.npz
8,10,1.191,99.2,98.7,99.51,0.00607,0.04556,0.985,design_sample_2276_wc_L1_ipc_r10.npz
9,11,1.17,99.1,98.58,99.43,0.005939,0.045708,0.951,design_sample_2276_wc_L1_ipc_r11.npz
10,5,1.184,99.05,98.52,99.39,0.006052,0.045603,0.975,design_sample_2276_wc_L1_ipc_r05.npz
11,7,1.191,98.95,98.4,99.31,0.006097,0.045557,0.985,design_sample_2276_wc_L1_ipc_r07.npz
12,2,1.193,98.5,97.87,98.95,0.006074,0.045561,0.985,design_sample_2276_wc_L1_ipc_r02.npz
