rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,1.53,80.55,78.76,82.23,0.003782,0.024315,2.559,design_sample_9557_cc_e0.3_L0.1_ipc_r00.npz
2,9,1.486,78.9,77.06,80.63,0.003838,0.023315,2.557,design_sample_9557_cc_e0.3_L0.1_ipc_r09.npz
3,10,1.482,77.65,75.77,79.42,0.003885,0.023628,2.581,design_sample_9557_cc_e0.3_L0.1_ipc_r10.npz
4,3,1.461,77.6,75.72,79.37,0.003838,0.022921,2.574,design_sample_9557_cc_e0.3_L0.1_ipc_r03.npz
5,1,1.457,77.05,75.16,78.84,0.003776,0.022128,2.574,design_sample_9557_cc_e0.3_L0.1_ipc_r01.npz
6,5,1.484,76.8,74.9,78.6,0.003835,0.023534,2.562,design_sample_9557_cc_e0.3_L0.1_ipc_r05.npz
7,11,1.468,76.6,74.69,78.4,0.003809,0.022756,2.554,design_sample_9557_cc_e0.3_L0.1_ipc_r11.npz
8,2,1.585,76.45,74.54,78.26,0.003683,0.024316,2.452,design_sample_9557_cc_e0.3_L0.1_ipc_r02.npz
9,7,1.479,76.3,74.39,78.11,0.0038,0.022113,2.554,design_sample_9557_cc_e0.3_L0.1_ipc_r07.npz
10,4,1.484,75.6,73.67,77.43,0.003737,0.02244,2.541,design_sample_9557_cc_e0.3_L0.1_ipc_r04.npz
11,8,1.692,75.25,73.31,77.09,0.004138,0.021911,2.59,design_sample_9557_cc_e0.3_L0.1_ipc_r08.npz
12,6,1.49,74.85,72.9,76.7,0.003707,0.021953,2.551,design_sample_9557_cc_e0.3_L0.1_ipc_r06.npz
