rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,1,4.857,63.1,60.96,65.19,0.009171,0.163561,3.789,design_sample_286_wc_L1_ipc_r01.npz
2,0,4.795,61.2,59.04,63.31,0.007869,0.168493,4.236,design_sample_286_wc_L1_ipc_r00.npz
3,7,4.036,19.75,18.06,21.55,0.005443,0.154221,3.312,design_sample_286_wc_L1_ipc_r07.npz
4,2,1.198,0.0,0.0,0.19,0.010525,0.035986,1.929,design_sample_286_wc_L1_ipc_r02.npz
5,3,1.43,0.0,0.0,0.19,0.011184,0.048403,2.511,design_sample_286_wc_L1_ipc_r03.npz
6,5,1.481,0.0,0.0,0.19,0.011291,0.040509,2.419,design_sample_286_wc_L1_ipc_r05.npz
7,6,1.314,0.0,0.0,0.19,0.011383,0.03866,2.708,design_sample_286_wc_L1_ipc_r06.npz
8,8,1.462,0.0,0.0,0.19,0.012445,0.05032,1.716,design_sample_286_wc_L1_ipc_r08.npz
9,9,0.996,0.0,0.0,0.19,0.011563,0.022265,3.379,design_sample_286_wc_L1_ipc_r09.npz
10,10,1.343,0.0,0.0,0.19,0.012087,0.044246,3.424,design_sample_286_wc_L1_ipc_r10.npz
11,11,1.615,0.0,0.0,0.19,0.013213,0.054723,1.849,design_sample_286_wc_L1_ipc_r11.npz
