rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,2.688,99.95,99.72,99.99,0.011981,0.022619,3.453,design_sample_0_cc_e0.2_L1_ipc_r00.npz
2,6,4.119,99.95,99.72,99.99,0.009641,0.033597,2.658,design_sample_0_cc_e0.2_L1_ipc_r06.npz
3,11,2.737,99.5,99.08,99.73,0.012942,0.016119,3.327,design_sample_0_cc_e0.2_L1_ipc_r11.npz
4,4,2.313,99.4,98.95,99.66,0.009944,0.016214,4.676,design_sample_0_cc_e0.2_L1_ipc_r04.npz
5,7,2.566,99.35,98.89,99.62,0.012018,0.020969,3.543,design_sample_0_cc_e0.2_L1_ipc_r07.npz
6,2,3.353,99.3,98.83,99.58,0.01208,0.162794,3.063,design_sample_0_cc_e0.2_L1_ipc_r02.npz
7,9,2.792,99.25,98.77,99.54,0.014248,0.016488,3.221,design_sample_0_cc_e0.2_L1_ipc_r09.npz
8,3,2.644,99.0,98.46,99.35,0.01308,0.017745,3.718,design_sample_0_cc_e0.2_L1_ipc_r03.npz
9,5,3.738,99.0,98.46,99.35,0.008607,0.021629,3.69,design_sample_0_cc_e0.2_L1_ipc_r05.npz
10,8,2.956,96.55,95.66,97.26,0.005444,0.168954,4.673,design_sample_0_cc_e0.2_L1_ipc_r08.npz
11,10,1.562,93.95,92.82,94.91,0.003964,0.023971,2.396,design_sample_0_cc_e0.2_L1_ipc_r10.npz
12,1,1.509,91.45,90.14,92.6,0.003987,0.019023,2.807,design_sample_0_cc_e0.2_L1_ipc_r01.npz
