rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,2,4.138,98.25,97.58,98.74,0.002721,0.160453,2.736,design_sample_9557_cc_e0.1_L0.1_ipc_r02.npz
2,10,4.062,96.7,95.82,97.4,0.002391,0.147898,2.954,design_sample_9557_cc_e0.1_L0.1_ipc_r10.npz
3,1,4.091,96.0,95.05,96.77,0.002627,0.1425,3.036,design_sample_9557_cc_e0.1_L0.1_ipc_r01.npz
4,0,2.381,91.7,90.41,92.83,0.003667,0.039965,3.593,design_sample_9557_cc_e0.1_L0.1_ipc_r00.npz
5,3,2.24,90.0,88.61,91.24,0.003972,0.036217,3.786,design_sample_9557_cc_e0.1_L0.1_ipc_r03.npz
6,5,2.262,88.65,87.19,89.97,0.00368,0.03628,3.605,design_sample_9557_cc_e0.1_L0.1_ipc_r05.npz
7,9,2.341,88.1,86.61,89.45,0.003515,0.038614,3.418,design_sample_9557_cc_e0.1_L0.1_ipc_r09.npz
8,7,2.275,86.55,84.98,87.98,0.00344,0.035137,3.25,design_sample_9557_cc_e0.1_L0.1_ipc_r07.npz
9,11,2.197,85.55,83.94,87.02,0.003555,0.034349,3.599,design_sample_9557_cc_e0.1_L0.1_ipc_r11.npz
10,8,2.538,82.9,81.19,84.49,0.003974,0.027957,3.857,design_sample_9557_cc_e0.1_L0.1_ipc_r08.npz
11,4,2.264,80.6,78.81,82.27,0.00337,0.035282,3.082,design_sample_9557_cc_e0.1_L0.1_ipc_r04.npz
12,6,2.298,77.55,75.67,79.32,0.003304,0.035667,3.112,design_sample_9557_cc_e0.1_L0.1_ipc_r06.npz
