rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,3.844,95.75,94.77,96.55,0.007522,0.063879,1.435,design_sample_2153_wc_L1_ipc_r00.npz
2,4,3.594,94.5,93.41,95.42,0.006204,0.061564,2.07,design_sample_2153_wc_L1_ipc_r04.npz
3,1,4.103,92.8,91.58,93.85,0.007197,0.072043,2.301,design_sample_2153_wc_L1_ipc_r01.npz
4,8,2.515,91.85,90.57,92.97,0.007319,0.024065,2.532,design_sample_2153_wc_L1_ipc_r08.npz
5,3,2.751,87.25,85.72,88.64,0.007364,0.035054,1.753,design_sample_2153_wc_L1_ipc_r03.npz
6,10,2.272,83.0,81.29,84.58,0.015143,0.022701,2.331,design_sample_2153_wc_L1_ipc_r10.npz
7,7,3.635,78.35,76.49,80.1,0.00661,0.060493,2.625,design_sample_2153_wc_L1_ipc_r07.npz
8,9,1.985,77.35,75.46,79.13,0.007322,0.015351,3.798,design_sample_2153_wc_L1_ipc_r09.npz
9,2,2.281,76.05,74.13,77.87,0.006603,0.022187,2.181,design_sample_2153_wc_L1_ipc_r02.npz
10,6,2.513,72.25,70.25,74.17,0.035724,0.036107,3.475,design_sample_2153_wc_L1_ipc_r06.npz
11,11,2.463,68.75,66.68,70.74,0.027666,0.028954,2.953,design_sample_2153_wc_L1_ipc_r11.npz
12,5,3.083,38.35,36.24,40.5,0.011628,0.033263,4.37,design_sample_2153_wc_L1_ipc_r05.npz
