rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,0.687,1.5,1.05,2.13,0.002455,0.01591,1.303,design_sample_38_var_L0_ipc_r00.npz
2,4,0.687,1.35,0.93,1.96,0.002462,0.015911,1.303,design_sample_38_var_L0_ipc_r04.npz
3,3,0.687,1.15,0.77,1.72,0.002456,0.015907,1.304,design_sample_38_var_L0_ipc_r03.npz
4,5,0.688,1.05,0.69,1.6,0.002459,0.015906,1.303,design_sample_38_var_L0_ipc_r05.npz
5,7,0.687,1.05,0.69,1.6,0.002454,0.01591,1.303,design_sample_38_var_L0_ipc_r07.npz
6,11,0.686,1.05,0.69,1.6,0.002473,0.015903,1.304,design_sample_38_var_L0_ipc_r11.npz
7,6,0.687,1.0,0.65,1.54,0.002452,0.01591,1.303,design_sample_38_var_L0_ipc_r06.npz
8,1,0.687,0.95,0.61,1.48,0.002454,0.01591,1.303,design_sample_38_var_L0_ipc_r01.npz
9,2,0.687,0.95,0.61,1.48,0.002469,0.01591,1.303,design_sample_38_var_L0_ipc_r02.npz
10,8,0.687,0.9,0.57,1.42,0.002463,0.015917,1.303,design_sample_38_var_L0_ipc_r08.npz
11,9,0.687,0.8,0.49,1.3,0.002448,0.015909,1.303,design_sample_38_var_L0_ipc_r09.npz
12,10,0.687,0.65,0.38,1.11,0.002452,0.015904,1.304,design_sample_38_var_L0_ipc_r10.npz
