rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,1.344,99.85,99.56,99.95,0.006198,0.017949,1.251,design_sample_9754_wc_L1_ipc_r00.npz
2,8,1.344,99.8,99.49,99.92,0.006215,0.017952,1.251,design_sample_9754_wc_L1_ipc_r08.npz
3,4,1.344,99.7,99.35,99.86,0.006204,0.017946,1.252,design_sample_9754_wc_L1_ipc_r04.npz
4,1,1.377,99.65,99.28,99.83,0.006157,0.017996,1.249,design_sample_9754_wc_L1_ipc_r01.npz
5,9,1.344,99.65,99.28,99.83,0.006185,0.017948,1.249,design_sample_9754_wc_L1_ipc_r09.npz
6,11,1.335,99.65,99.28,99.83,0.006263,0.017868,1.276,design_sample_9754_wc_L1_ipc_r11.npz
7,10,1.344,99.6,99.21,99.8,0.0062,0.017947,1.251,design_sample_9754_wc_L1_ipc_r10.npz
8,3,1.313,99.5,99.08,99.73,0.006137,0.017957,1.218,design_sample_9754_wc_L1_ipc_r03.npz
9,6,1.353,99.5,99.08,99.73,0.005895,0.01804,1.138,design_sample_9754_wc_L1_ipc_r06.npz
10,2,1.345,99.4,98.95,99.66,0.006177,0.017951,1.252,design_sample_9754_wc_L1_ipc_r02.npz
11,5,1.159,99.4,98.95,99.66,0.005901,0.018374,1.05,design_sample_9754_wc_L1_ipc_r05.npz
12,7,1.345,99.4,98.95,99.66,0.006202,0.017948,1.252,design_sample_9754_wc_L1_ipc_r07.npz
