rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,2.804,100.0,99.81,100.0,0.001691,0.021534,3.484,design_sample_1260_cc_e0.05_L0.3_ipc_r00.npz
2,11,2.732,99.85,99.56,99.95,0.001768,0.021022,3.519,design_sample_1260_cc_e0.05_L0.3_ipc_r11.npz
3,10,2.806,99.8,99.49,99.92,0.001706,0.045403,3.456,design_sample_1260_cc_e0.05_L0.3_ipc_r10.npz
4,1,3.0,99.7,99.35,99.86,0.001939,0.022764,3.368,design_sample_1260_cc_e0.05_L0.3_ipc_r01.npz
5,5,2.942,99.65,99.28,99.83,0.001805,0.041788,3.443,design_sample_1260_cc_e0.05_L0.3_ipc_r05.npz
6,6,2.482,99.5,99.08,99.73,0.001587,0.02364,3.464,design_sample_1260_cc_e0.05_L0.3_ipc_r06.npz
7,9,2.554,99.5,99.08,99.73,0.001611,0.022397,3.516,design_sample_1260_cc_e0.05_L0.3_ipc_r09.npz
8,4,2.429,99.4,98.95,99.66,0.001577,0.02355,3.447,design_sample_1260_cc_e0.05_L0.3_ipc_r04.npz
9,2,2.161,98.35,97.69,98.82,0.001478,0.027283,3.389,design_sample_1260_cc_e0.05_L0.3_ipc_r02.npz
10,8,3.194,85.1,83.47,86.59,0.002281,0.041031,3.283,design_sample_1260_cc_e0.05_L0.3_ipc_r08.npz
11,7,3.21,84.5,82.85,86.02,0.002294,0.04215,3.279,design_sample_1260_cc_e0.05_L0.3_ipc_r07.npz
12,3,3.402,77.4,75.52,79.18,0.002262,0.044753,3.243,design_sample_1260_cc_e0.05_L0.3_ipc_r03.npz
