rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,6,1.164,99.6,99.21,99.8,0.005599,0.045551,1.086,design_sample_2276_var_L0_ipc_r06.npz
2,9,1.173,99.45,99.02,99.69,0.005833,0.045646,0.987,design_sample_2276_var_L0_ipc_r09.npz
3,1,1.169,99.4,98.95,99.66,0.00588,0.045621,0.995,design_sample_2276_var_L0_ipc_r01.npz
4,8,1.192,99.4,98.95,99.66,0.006027,0.045574,0.983,design_sample_2276_var_L0_ipc_r08.npz
5,3,1.191,99.25,98.77,99.54,0.006127,0.045547,0.986,design_sample_2276_var_L0_ipc_r03.npz
6,0,1.189,99.2,98.7,99.51,0.005999,0.04558,0.983,design_sample_2276_var_L0_ipc_r00.npz
7,4,1.187,99.2,98.7,99.51,0.006031,0.045576,0.982,design_sample_2276_var_L0_ipc_r04.npz
8,10,1.19,99.2,98.7,99.51,0.006063,0.04556,0.985,design_sample_2276_var_L0_ipc_r10.npz
9,11,1.17,99.1,98.58,99.43,0.005937,0.045708,0.95,design_sample_2276_var_L0_ipc_r11.npz
10,5,1.179,99.05,98.52,99.39,0.006004,0.045608,0.975,design_sample_2276_var_L0_ipc_r05.npz
11,7,1.191,98.95,98.4,99.31,0.006053,0.045557,0.985,design_sample_2276_var_L0_ipc_r07.npz
12,2,1.194,98.5,97.87,98.95,0.006081,0.045562,0.985,design_sample_2276_var_L0_ipc_r02.npz
