rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,10,2.091,98.95,98.4,99.31,0.001265,0.044596,4.15,design_sample_1260_cc_e0.2_L1_ipc_r10.npz
2,3,2.42,97.7,96.95,98.27,0.002577,0.0168,3.078,design_sample_1260_cc_e0.2_L1_ipc_r03.npz
3,0,2.176,97.45,96.66,98.06,0.001862,0.021163,3.49,design_sample_1260_cc_e0.2_L1_ipc_r00.npz
4,7,2.177,97.4,96.61,98.01,0.001867,0.018284,3.363,design_sample_1260_cc_e0.2_L1_ipc_r07.npz
5,11,2.194,97.3,96.49,97.92,0.002036,0.018057,3.474,design_sample_1260_cc_e0.2_L1_ipc_r11.npz
6,9,2.133,97.15,96.33,97.79,0.001825,0.019321,3.456,design_sample_1260_cc_e0.2_L1_ipc_r09.npz
7,8,2.062,96.7,95.82,97.4,0.001767,0.022299,3.595,design_sample_1260_cc_e0.2_L1_ipc_r08.npz
8,6,1.987,96.5,95.6,97.22,0.001587,0.023228,3.676,design_sample_1260_cc_e0.2_L1_ipc_r06.npz
9,5,2.177,96.3,95.38,97.04,0.001986,0.036529,3.258,design_sample_1260_cc_e0.2_L1_ipc_r05.npz
10,2,2.09,96.0,95.05,96.77,0.001642,0.028558,3.617,design_sample_1260_cc_e0.2_L1_ipc_r02.npz
11,1,2.022,95.5,94.5,96.32,0.001648,0.024545,3.718,design_sample_1260_cc_e0.2_L1_ipc_r01.npz
12,4,1.96,94.4,93.3,95.33,0.001617,0.023072,3.648,design_sample_1260_cc_e0.2_L1_ipc_r04.npz
