rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,10,1.94,95.15,94.12,96.01,0.002742,0.027876,2.532,design_sample_1260_cc_e0.3_L0.3_ipc_r10.npz
2,0,2.021,94.15,93.03,95.1,0.003083,0.02126,2.529,design_sample_1260_cc_e0.3_L0.3_ipc_r00.npz
3,3,1.972,91.1,89.77,92.27,0.003005,0.016908,2.523,design_sample_1260_cc_e0.3_L0.3_ipc_r03.npz
4,5,1.87,91.05,89.72,92.22,0.00267,0.023562,2.522,design_sample_1260_cc_e0.3_L0.3_ipc_r05.npz
5,8,2.02,91.05,89.72,92.22,0.003142,0.018311,2.537,design_sample_1260_cc_e0.3_L0.3_ipc_r08.npz
6,11,1.973,90.6,89.24,91.8,0.003046,0.018417,2.52,design_sample_1260_cc_e0.3_L0.3_ipc_r11.npz
7,1,1.986,90.25,88.87,91.47,0.003013,0.018497,2.525,design_sample_1260_cc_e0.3_L0.3_ipc_r01.npz
8,2,1.863,90.1,88.71,91.33,0.00272,0.020615,2.518,design_sample_1260_cc_e0.3_L0.3_ipc_r02.npz
9,9,1.966,89.25,87.82,90.53,0.002991,0.017328,2.566,design_sample_1260_cc_e0.3_L0.3_ipc_r09.npz
10,6,1.879,88.15,86.66,89.49,0.002777,0.016646,2.613,design_sample_1260_cc_e0.3_L0.3_ipc_r06.npz
11,7,1.887,87.2,85.66,88.59,0.002868,0.016756,2.575,design_sample_1260_cc_e0.3_L0.3_ipc_r07.npz
12,4,1.884,86.75,85.19,88.17,0.002989,0.016795,2.549,design_sample_1260_cc_e0.3_L0.3_ipc_r04.npz
