rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,3,2.311,78.8,76.95,80.54,0.005289,0.058727,3.113,design_sample_9557_wc_L1_ipc_r03.npz
2,10,1.462,76.7,74.8,78.5,0.004053,0.018967,2.421,design_sample_9557_wc_L1_ipc_r10.npz
3,5,1.41,74.3,72.34,76.17,0.004235,0.022436,3.396,design_sample_9557_wc_L1_ipc_r05.npz
4,4,1.644,73.15,71.16,75.05,0.003743,0.027054,1.964,design_sample_9557_wc_L1_ipc_r04.npz
5,6,1.96,72.85,70.86,74.75,0.003981,0.019518,2.505,design_sample_9557_wc_L1_ipc_r06.npz
6,2,1.65,72.45,70.45,74.36,0.004068,0.028151,2.307,design_sample_9557_wc_L1_ipc_r02.npz
7,9,1.889,70.85,68.82,72.8,0.004132,0.032381,3.749,design_sample_9557_wc_L1_ipc_r09.npz
8,8,1.78,69.95,67.9,71.92,0.004041,0.032998,1.608,design_sample_9557_wc_L1_ipc_r08.npz
9,0,1.723,68.0,65.92,70.01,0.003916,0.03048,1.894,design_sample_9557_wc_L1_ipc_r00.npz
10,11,2.056,67.25,65.16,69.27,0.004326,0.02513,0.814,design_sample_9557_wc_L1_ipc_r11.npz
11,1,3.643,66.45,64.35,68.49,0.002857,0.111234,1.99,design_sample_9557_wc_L1_ipc_r01.npz
12,7,3.624,65.7,63.59,67.75,0.002854,0.104256,2.029,design_sample_9557_wc_L1_ipc_r07.npz
