rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,0.846,99.8,99.49,99.92,0.007609,0.00717,0.875,design_sample_260_var_L0_ipc_r00.npz
2,5,0.846,99.75,99.42,99.89,0.007631,0.00717,0.876,design_sample_260_var_L0_ipc_r05.npz
3,8,0.847,99.75,99.42,99.89,0.007611,0.00717,0.875,design_sample_260_var_L0_ipc_r08.npz
4,9,0.846,99.65,99.28,99.83,0.00763,0.00717,0.876,design_sample_260_var_L0_ipc_r09.npz
5,6,0.845,99.6,99.21,99.8,0.007618,0.007146,0.883,design_sample_260_var_L0_ipc_r06.npz
6,11,0.846,99.6,99.21,99.8,0.007632,0.007169,0.876,design_sample_260_var_L0_ipc_r11.npz
7,1,0.847,99.55,99.15,99.76,0.007656,0.00718,0.872,design_sample_260_var_L0_ipc_r01.npz
8,4,0.846,99.5,99.08,99.73,0.007621,0.007171,0.875,design_sample_260_var_L0_ipc_r04.npz
9,2,0.847,99.45,99.02,99.69,0.007619,0.007172,0.875,design_sample_260_var_L0_ipc_r02.npz
10,3,0.846,99.45,99.02,99.69,0.007608,0.00717,0.875,design_sample_260_var_L0_ipc_r03.npz
11,10,0.847,99.4,98.95,99.66,0.007617,0.007173,0.875,design_sample_260_var_L0_ipc_r10.npz
12,7,0.846,99.35,98.89,99.62,0.007633,0.007172,0.875,design_sample_260_var_L0_ipc_r07.npz
