rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,3,1.564,81.65,79.89,83.29,0.001665,0.024788,2.893,design_sample_264_wc_L1_ipc_r03.npz
2,5,1.8,80.1,78.29,81.79,0.001448,0.02081,2.912,design_sample_264_wc_L1_ipc_r05.npz
3,6,1.544,79.15,77.31,80.87,0.001561,0.019823,2.741,design_sample_264_wc_L1_ipc_r06.npz
4,0,1.907,78.1,76.23,79.86,0.001881,0.029699,2.202,design_sample_264_wc_L1_ipc_r00.npz
5,11,1.348,77.85,75.98,79.62,0.001582,0.01325,3.359,design_sample_264_wc_L1_ipc_r11.npz
6,2,1.437,77.7,75.82,79.47,0.001496,0.015506,3.256,design_sample_264_wc_L1_ipc_r02.npz
7,8,1.37,76.85,74.95,78.65,0.001531,0.013998,3.325,design_sample_264_wc_L1_ipc_r08.npz
8,10,1.407,76.75,74.85,78.55,0.001562,0.016706,3.232,design_sample_264_wc_L1_ipc_r10.npz
9,7,1.518,75.3,73.36,77.14,0.001421,0.013512,3.542,design_sample_264_wc_L1_ipc_r07.npz
10,1,3.066,74.75,72.8,76.61,0.001639,0.058327,3.35,design_sample_264_wc_L1_ipc_r01.npz
11,4,1.517,71.75,69.74,73.68,0.001458,0.013498,3.475,design_sample_264_wc_L1_ipc_r04.npz
12,9,1.262,69.9,67.85,71.87,0.001514,0.012179,3.635,design_sample_264_wc_L1_ipc_r09.npz
