rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,3.432,100.0,99.81,100.0,0.001347,0.027455,4.416,design_sample_1260_cc_e0.05_L1_ipc_r00.npz
2,8,3.479,100.0,99.81,100.0,0.001434,0.031591,4.529,design_sample_1260_cc_e0.05_L1_ipc_r08.npz
3,11,3.305,100.0,99.81,100.0,0.001399,0.027911,4.502,design_sample_1260_cc_e0.05_L1_ipc_r11.npz
4,4,3.12,99.95,99.72,99.99,0.001229,0.031729,4.698,design_sample_1260_cc_e0.05_L1_ipc_r04.npz
5,6,3.106,99.9,99.64,99.97,0.001254,0.030865,4.631,design_sample_1260_cc_e0.05_L1_ipc_r06.npz
6,9,3.122,99.9,99.64,99.97,0.00133,0.028213,4.438,design_sample_1260_cc_e0.05_L1_ipc_r09.npz
7,5,3.272,99.75,99.42,99.89,0.001342,0.038365,4.513,design_sample_1260_cc_e0.05_L1_ipc_r05.npz
8,1,3.129,99.7,99.35,99.86,0.001035,0.030316,4.84,design_sample_1260_cc_e0.05_L1_ipc_r01.npz
9,10,2.928,99.6,99.21,99.8,0.001189,0.035206,4.922,design_sample_1260_cc_e0.05_L1_ipc_r10.npz
10,2,2.547,99.35,98.89,99.62,0.001075,0.03086,4.08,design_sample_1260_cc_e0.05_L1_ipc_r02.npz
11,7,3.922,98.5,97.87,98.95,0.001801,0.047972,4.211,design_sample_1260_cc_e0.05_L1_ipc_r07.npz
12,3,3.97,97.8,97.06,98.36,0.001742,0.042103,4.306,design_sample_1260_cc_e0.05_L1_ipc_r03.npz
