rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,1.888,0.0,0.0,0.19,0.018142,0.015867,1.105,design_sample_3091_var_L0_ipc_r00.npz
2,1,1.887,0.0,0.0,0.19,0.018134,0.015867,1.105,design_sample_3091_var_L0_ipc_r01.npz
3,2,1.887,0.0,0.0,0.19,0.018126,0.015866,1.105,design_sample_3091_var_L0_ipc_r02.npz
4,3,1.888,0.0,0.0,0.19,0.018144,0.015862,1.104,design_sample_3091_var_L0_ipc_r03.npz
5,4,1.887,0.0,0.0,0.19,0.018133,0.015866,1.105,design_sample_3091_var_L0_ipc_r04.npz
6,5,1.888,0.0,0.0,0.19,0.018153,0.015865,1.106,design_sample_3091_var_L0_ipc_r05.npz
7,6,1.885,0.0,0.0,0.19,0.018076,0.015854,1.11,design_sample_3091_var_L0_ipc_r06.npz
8,7,1.888,0.0,0.0,0.19,0.018127,0.015868,1.104,design_sample_3091_var_L0_ipc_r07.npz
9,8,1.887,0.0,0.0,0.19,0.018096,0.015866,1.105,design_sample_3091_var_L0_ipc_r08.npz
10,9,1.887,0.0,0.0,0.19,0.018128,0.015869,1.104,design_sample_3091_var_L0_ipc_r09.npz
11,10,1.887,0.0,0.0,0.19,0.018131,0.015868,1.105,design_sample_3091_var_L0_ipc_r10.npz
12,11,1.888,0.0,0.0,0.19,0.018148,0.015866,1.105,design_sample_3091_var_L0_ipc_r11.npz
