rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,2.265,0.0,0.0,0.19,0.015226,0.019048,0.695,design_sample_9671_var_L0_ipc_r00.npz
2,1,2.265,0.0,0.0,0.19,0.015217,0.019049,0.695,design_sample_9671_var_L0_ipc_r01.npz
3,2,2.264,0.0,0.0,0.19,0.01522,0.01905,0.698,design_sample_9671_var_L0_ipc_r02.npz
4,3,2.265,0.0,0.0,0.19,0.015237,0.019047,0.695,design_sample_9671_var_L0_ipc_r03.npz
5,4,2.265,0.0,0.0,0.19,0.015223,0.019048,0.695,design_sample_9671_var_L0_ipc_r04.npz
6,5,2.265,0.0,0.0,0.19,0.015245,0.019046,0.693,design_sample_9671_var_L0_ipc_r05.npz
7,6,2.251,0.0,0.0,0.19,0.015043,0.018923,0.814,design_sample_9671_var_L0_ipc_r06.npz
8,7,2.265,0.0,0.0,0.19,0.015242,0.019049,0.694,design_sample_9671_var_L0_ipc_r07.npz
9,8,2.264,0.0,0.0,0.19,0.015214,0.019047,0.698,design_sample_9671_var_L0_ipc_r08.npz
10,9,2.261,0.0,0.0,0.19,0.015084,0.019047,0.718,design_sample_9671_var_L0_ipc_r09.npz
11,10,2.26,0.0,0.0,0.19,0.015153,0.019012,0.731,design_sample_9671_var_L0_ipc_r10.npz
12,11,2.262,0.0,0.0,0.19,0.015143,0.019053,0.71,design_sample_9671_var_L0_ipc_r11.npz
