rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,0.865,0.0,0.0,0.19,0.016584,0.00909,1.369,design_sample_695_var_L0_ipc_r00.npz
2,1,0.865,0.0,0.0,0.19,0.016563,0.009087,1.369,design_sample_695_var_L0_ipc_r01.npz
3,2,0.866,0.0,0.0,0.19,0.016566,0.00909,1.369,design_sample_695_var_L0_ipc_r02.npz
4,3,0.865,0.0,0.0,0.19,0.016559,0.009092,1.369,design_sample_695_var_L0_ipc_r03.npz
5,4,0.865,0.0,0.0,0.19,0.016558,0.00909,1.369,design_sample_695_var_L0_ipc_r04.npz
6,5,0.942,0.0,0.0,0.19,0.013501,0.009562,1.45,design_sample_695_var_L0_ipc_r05.npz
7,6,3.242,0.0,0.0,0.19,0.015778,0.09361,1.373,design_sample_695_var_L0_ipc_r06.npz
8,7,0.865,0.0,0.0,0.19,0.016573,0.009088,1.368,design_sample_695_var_L0_ipc_r07.npz
9,8,0.866,0.0,0.0,0.19,0.016576,0.009091,1.367,design_sample_695_var_L0_ipc_r08.npz
10,9,0.866,0.0,0.0,0.19,0.016549,0.009096,1.369,design_sample_695_var_L0_ipc_r09.npz
11,10,0.866,0.0,0.0,0.19,0.01657,0.00909,1.368,design_sample_695_var_L0_ipc_r10.npz
12,11,0.865,0.0,0.0,0.19,0.016556,0.00909,1.367,design_sample_695_var_L0_ipc_r11.npz
