rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,4.067,79.15,77.31,80.87,0.004887,0.089049,2.789,design_sample_6183_wc_L1_ipc_r00.npz
2,3,3.469,76.0,74.08,77.82,0.004956,0.057024,3.884,design_sample_6183_wc_L1_ipc_r03.npz
3,4,4.139,75.65,73.72,77.48,0.00481,0.089756,2.01,design_sample_6183_wc_L1_ipc_r04.npz
4,7,4.182,73.2,71.22,75.1,0.004364,0.093981,3.134,design_sample_6183_wc_L1_ipc_r07.npz
5,1,4.172,69.5,67.45,71.48,0.004646,0.101728,1.837,design_sample_6183_wc_L1_ipc_r01.npz
6,2,3.416,62.05,59.9,64.15,0.006484,0.05215,2.633,design_sample_6183_wc_L1_ipc_r02.npz
7,10,3.439,57.95,55.77,60.1,0.00896,0.043998,2.673,design_sample_6183_wc_L1_ipc_r10.npz
8,9,3.161,56.9,54.72,59.06,0.00475,0.048901,4.327,design_sample_6183_wc_L1_ipc_r09.npz
9,8,3.559,56.85,54.67,59.01,0.007598,0.054428,2.671,design_sample_6183_wc_L1_ipc_r08.npz
10,6,3.196,55.8,53.61,57.96,0.0167,0.087348,3.856,design_sample_6183_wc_L1_ipc_r06.npz
11,5,3.253,45.15,42.98,47.34,0.012144,0.059272,4.971,design_sample_6183_wc_L1_ipc_r05.npz
12,11,2.599,38.7,36.59,40.85,0.008217,0.024433,3.284,design_sample_6183_wc_L1_ipc_r11.npz
