rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,4.063,52.35,50.16,54.53,0.005199,0.058515,4.231,design_sample_1397_wc_L1_ipc_r00.npz
2,1,3.99,38.35,36.24,40.5,0.003463,0.084165,1.618,design_sample_1397_wc_L1_ipc_r01.npz
3,4,4.484,13.2,11.79,14.75,0.006505,0.073363,3.36,design_sample_1397_wc_L1_ipc_r04.npz
4,3,2.842,12.05,10.7,13.55,0.003285,0.034488,5.543,design_sample_1397_wc_L1_ipc_r03.npz
5,2,2.929,9.1,7.92,10.44,0.003295,0.032293,2.784,design_sample_1397_wc_L1_ipc_r02.npz
6,8,3.462,4.15,3.36,5.12,0.004461,0.037186,3.17,design_sample_1397_wc_L1_ipc_r08.npz
7,7,2.8,1.6,1.14,2.25,0.00304,0.033159,3.165,design_sample_1397_wc_L1_ipc_r07.npz
8,9,3.458,0.05,0.01,0.28,0.003589,0.046156,1.714,design_sample_1397_wc_L1_ipc_r09.npz
9,5,3.431,0.0,0.0,0.19,0.016397,0.078688,4.481,design_sample_1397_wc_L1_ipc_r05.npz
10,6,2.149,0.0,0.0,0.19,0.003517,0.020493,2.601,design_sample_1397_wc_L1_ipc_r06.npz
11,10,2.374,0.0,0.0,0.19,0.003139,0.023386,2.196,design_sample_1397_wc_L1_ipc_r10.npz
12,11,2.63,0.0,0.0,0.19,0.003311,0.028747,3.122,design_sample_1397_wc_L1_ipc_r11.npz
