rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,9,1.153,82.95,81.24,84.53,0.010037,0.032025,2.397,design_sample_2803_wc_L1_ipc_r09.npz
2,5,1.007,82.65,80.93,84.25,0.009565,0.039493,1.821,design_sample_2803_wc_L1_ipc_r05.npz
3,8,1.084,82.4,80.67,84.01,0.010971,0.037233,2.172,design_sample_2803_wc_L1_ipc_r08.npz
4,6,0.976,82.3,80.57,83.91,0.009862,0.018637,1.773,design_sample_2803_wc_L1_ipc_r06.npz
5,3,1.071,82.25,80.51,83.86,0.009735,0.059289,1.88,design_sample_2803_wc_L1_ipc_r03.npz
6,2,1.106,81.8,80.05,83.43,0.010714,0.029484,1.777,design_sample_2803_wc_L1_ipc_r02.npz
7,7,1.345,81.2,79.43,82.85,0.00761,0.030688,2.532,design_sample_2803_wc_L1_ipc_r07.npz
8,4,1.181,81.0,79.22,82.66,0.009345,0.031383,2.245,design_sample_2803_wc_L1_ipc_r04.npz
9,10,0.918,75.65,73.72,77.48,0.009138,0.015903,1.815,design_sample_2803_wc_L1_ipc_r10.npz
10,1,0.82,73.45,71.47,75.34,0.008023,0.016815,1.978,design_sample_2803_wc_L1_ipc_r01.npz
11,0,0.99,73.2,71.22,75.1,0.008867,0.019884,1.629,design_sample_2803_wc_L1_ipc_r00.npz
12,11,2.853,33.55,31.51,35.65,0.021604,0.302225,2.277,design_sample_2803_wc_L1_ipc_r11.npz
