rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,0.982,100.0,99.81,100.0,0.011111,0.016679,1.01,design_sample_2702_var_L0_ipc_r00.npz
2,1,0.982,100.0,99.81,100.0,0.011105,0.016683,1.009,design_sample_2702_var_L0_ipc_r01.npz
3,2,0.979,100.0,99.81,100.0,0.011125,0.01668,1.011,design_sample_2702_var_L0_ipc_r02.npz
4,3,1.205,100.0,99.81,100.0,0.010259,0.018254,1.566,design_sample_2702_var_L0_ipc_r03.npz
5,4,0.983,100.0,99.81,100.0,0.011093,0.016681,1.01,design_sample_2702_var_L0_ipc_r04.npz
6,5,1.541,100.0,99.81,100.0,0.00617,0.020576,1.252,design_sample_2702_var_L0_ipc_r05.npz
7,6,1.342,100.0,99.81,100.0,0.00968,0.016968,0.74,design_sample_2702_var_L0_ipc_r06.npz
8,7,0.98,100.0,99.81,100.0,0.01113,0.016675,1.012,design_sample_2702_var_L0_ipc_r07.npz
9,8,0.974,100.0,99.81,100.0,0.011168,0.016679,1.014,design_sample_2702_var_L0_ipc_r08.npz
10,9,1.64,100.0,99.81,100.0,0.007263,0.019706,1.101,design_sample_2702_var_L0_ipc_r09.npz
11,10,1.23,100.0,99.81,100.0,0.011716,0.017287,0.797,design_sample_2702_var_L0_ipc_r10.npz
12,11,1.508,100.0,99.81,100.0,0.008944,0.018352,0.785,design_sample_2702_var_L0_ipc_r11.npz
