rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,10,1.505,80.85,79.07,82.51,0.024424,0.067267,2.127,design_sample_3976_wc_L1_ipc_r10.npz
2,9,1.364,79.55,77.73,81.26,0.026525,0.047158,2.149,design_sample_3976_wc_L1_ipc_r09.npz
3,2,1.462,78.35,76.49,80.1,0.032776,0.05635,1.666,design_sample_3976_wc_L1_ipc_r02.npz
4,8,1.675,78.25,76.39,80.0,0.039197,0.070615,1.774,design_sample_3976_wc_L1_ipc_r08.npz
5,5,1.252,77.95,76.08,79.71,0.024435,0.043309,1.613,design_sample_3976_wc_L1_ipc_r05.npz
6,11,1.477,75.9,73.98,77.72,0.023965,0.044799,1.925,design_sample_3976_wc_L1_ipc_r11.npz
7,6,1.389,75.5,73.57,77.33,0.030238,0.041564,2.309,design_sample_3976_wc_L1_ipc_r06.npz
8,3,2.315,73.75,71.78,75.63,0.032012,0.110547,2.794,design_sample_3976_wc_L1_ipc_r03.npz
9,4,1.966,73.45,71.47,75.34,0.028509,0.082958,1.297,design_sample_3976_wc_L1_ipc_r04.npz
10,1,2.648,71.25,69.23,73.19,0.013317,0.112892,1.336,design_sample_3976_wc_L1_ipc_r01.npz
11,0,1.431,71.0,68.97,72.95,0.024433,0.055552,1.963,design_sample_3976_wc_L1_ipc_r00.npz
12,7,2.426,67.45,65.36,69.47,0.024268,0.095677,1.39,design_sample_3976_wc_L1_ipc_r07.npz
