rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,1.21,100.0,99.81,100.0,0.003779,0.014274,1.585,design_sample_4880_var_L0_ipc_r00.npz
2,1,1.683,100.0,99.81,100.0,0.002054,0.041467,1.535,design_sample_4880_var_L0_ipc_r01.npz
3,2,1.202,100.0,99.81,100.0,0.003828,0.0141,1.572,design_sample_4880_var_L0_ipc_r02.npz
4,3,1.202,100.0,99.81,100.0,0.003826,0.014099,1.572,design_sample_4880_var_L0_ipc_r03.npz
5,4,1.204,100.0,99.81,100.0,0.00384,0.014118,1.573,design_sample_4880_var_L0_ipc_r04.npz
6,5,1.252,100.0,99.81,100.0,0.003733,0.01447,1.587,design_sample_4880_var_L0_ipc_r05.npz
7,6,1.184,100.0,99.81,100.0,0.003871,0.014007,1.571,design_sample_4880_var_L0_ipc_r06.npz
8,7,1.662,100.0,99.81,100.0,0.002751,0.017282,1.54,design_sample_4880_var_L0_ipc_r07.npz
9,8,1.199,100.0,99.81,100.0,0.003841,0.014087,1.572,design_sample_4880_var_L0_ipc_r08.npz
10,9,1.189,100.0,99.81,100.0,0.003861,0.014008,1.567,design_sample_4880_var_L0_ipc_r09.npz
11,10,1.2,100.0,99.81,100.0,0.003855,0.014076,1.571,design_sample_4880_var_L0_ipc_r10.npz
12,11,1.161,100.0,99.81,100.0,0.003861,0.013876,1.565,design_sample_4880_var_L0_ipc_r11.npz
