rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,0.635,100.0,99.81,100.0,0.002151,0.001779,1.521,design_sample_10342_wc_L1_ipc_r00.npz
2,1,0.549,100.0,99.81,100.0,0.001995,0.001912,1.519,design_sample_10342_wc_L1_ipc_r01.npz
3,2,0.64,100.0,99.81,100.0,0.00217,0.001779,1.522,design_sample_10342_wc_L1_ipc_r02.npz
4,3,0.639,100.0,99.81,100.0,0.002146,0.001781,1.522,design_sample_10342_wc_L1_ipc_r03.npz
5,4,0.641,100.0,99.81,100.0,0.002144,0.001779,1.522,design_sample_10342_wc_L1_ipc_r04.npz
6,5,0.669,100.0,99.81,100.0,0.002204,0.001822,1.532,design_sample_10342_wc_L1_ipc_r05.npz
7,6,0.786,100.0,99.81,100.0,0.002274,0.001792,1.532,design_sample_10342_wc_L1_ipc_r06.npz
8,7,0.633,100.0,99.81,100.0,0.002173,0.001789,1.522,design_sample_10342_wc_L1_ipc_r07.npz
9,8,0.636,100.0,99.81,100.0,0.002139,0.001779,1.522,design_sample_10342_wc_L1_ipc_r08.npz
10,9,0.64,100.0,99.81,100.0,0.002167,0.001771,1.521,design_sample_10342_wc_L1_ipc_r09.npz
11,10,0.639,100.0,99.81,100.0,0.002166,0.00178,1.522,design_sample_10342_wc_L1_ipc_r10.npz
12,11,0.645,100.0,99.81,100.0,0.002145,0.001774,1.522,design_sample_10342_wc_L1_ipc_r11.npz
