rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,5,3.854,90.45,89.08,91.66,0.002607,0.072041,2.966,design_sample_9504_wc_L1_ipc_r05.npz
2,3,4.221,87.8,86.29,89.16,0.003113,0.14267,3.528,design_sample_9504_wc_L1_ipc_r03.npz
3,10,3.999,84.15,82.48,85.68,0.005315,0.11249,4.657,design_sample_9504_wc_L1_ipc_r10.npz
4,9,3.908,80.05,78.24,81.74,0.003007,0.104806,5.174,design_sample_9504_wc_L1_ipc_r09.npz
5,4,4.876,74.45,72.49,76.31,0.002069,0.494087,2.548,design_sample_9504_wc_L1_ipc_r04.npz
6,1,4.82,74.35,72.39,76.22,0.002221,0.487764,3.03,design_sample_9504_wc_L1_ipc_r01.npz
7,7,4.468,72.65,70.65,74.56,0.001514,0.479282,2.807,design_sample_9504_wc_L1_ipc_r07.npz
8,2,2.51,2.65,2.03,3.45,0.001661,0.087088,3.761,design_sample_9504_wc_L1_ipc_r02.npz
9,11,2.144,0.2,0.08,0.51,0.000974,0.081939,4.331,design_sample_9504_wc_L1_ipc_r11.npz
10,6,1.346,0.05,0.01,0.28,0.002352,0.039874,1.477,design_sample_9504_wc_L1_ipc_r06.npz
11,8,1.979,0.05,0.01,0.28,0.00101,0.075033,4.399,design_sample_9504_wc_L1_ipc_r08.npz
