rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,1,2.05,99.9,99.64,99.97,0.003627,0.022549,2.579,design_sample_0_cc_e0.1_L0.3_ipc_r01.npz
2,2,4.162,99.9,99.64,99.97,0.014847,0.196497,2.558,design_sample_0_cc_e0.1_L0.3_ipc_r02.npz
3,6,1.84,99.85,99.56,99.95,0.00364,0.01794,2.665,design_sample_0_cc_e0.1_L0.3_ipc_r06.npz
4,3,2.574,99.15,98.64,99.47,0.011081,0.021028,2.765,design_sample_0_cc_e0.1_L0.3_ipc_r03.npz
5,0,2.754,99.1,98.58,99.43,0.009438,0.051119,2.555,design_sample_0_cc_e0.1_L0.3_ipc_r00.npz
6,11,2.811,98.75,98.16,99.15,0.009737,0.064419,2.536,design_sample_0_cc_e0.1_L0.3_ipc_r11.npz
7,9,2.818,98.65,98.04,99.07,0.009587,0.0619,2.539,design_sample_0_cc_e0.1_L0.3_ipc_r09.npz
8,5,2.719,98.2,97.52,98.7,0.004899,0.023158,2.522,design_sample_0_cc_e0.1_L0.3_ipc_r05.npz
9,7,2.747,98.15,97.46,98.65,0.009773,0.057953,2.572,design_sample_0_cc_e0.1_L0.3_ipc_r07.npz
10,10,2.042,97.25,96.44,97.88,0.003842,0.031603,2.5,design_sample_0_cc_e0.1_L0.3_ipc_r10.npz
11,4,1.801,96.1,95.16,96.86,0.003795,0.017553,2.706,design_sample_0_cc_e0.1_L0.3_ipc_r04.npz
12,8,3.141,92.3,91.05,93.39,0.006687,0.159056,2.728,design_sample_0_cc_e0.1_L0.3_ipc_r08.npz
