rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,3.74,100.0,99.81,100.0,0.010713,0.022766,4.471,design_sample_0_cc_e0.1_L1_ipc_r00.npz
2,7,3.459,100.0,99.81,100.0,0.009735,0.039164,5.606,design_sample_0_cc_e0.1_L1_ipc_r07.npz
3,9,3.895,100.0,99.81,100.0,0.011444,0.031067,4.408,design_sample_0_cc_e0.1_L1_ipc_r09.npz
4,11,3.572,100.0,99.81,100.0,0.009727,0.067457,5.391,design_sample_0_cc_e0.1_L1_ipc_r11.npz
5,1,2.185,99.95,99.72,99.99,0.003559,0.025243,3.776,design_sample_0_cc_e0.1_L1_ipc_r01.npz
6,2,4.827,99.95,99.72,99.99,0.015801,0.198342,4.706,design_sample_0_cc_e0.1_L1_ipc_r02.npz
7,3,3.731,99.95,99.72,99.99,0.011348,0.020758,5.157,design_sample_0_cc_e0.1_L1_ipc_r03.npz
8,6,2.023,99.9,99.64,99.97,0.00316,0.024803,2.966,design_sample_0_cc_e0.1_L1_ipc_r06.npz
9,4,2.061,99.65,99.28,99.83,0.004243,0.014855,5.833,design_sample_0_cc_e0.1_L1_ipc_r04.npz
10,8,3.314,99.4,98.95,99.66,0.005653,0.166821,6.574,design_sample_0_cc_e0.1_L1_ipc_r08.npz
11,10,2.085,99.2,98.7,99.51,0.003574,0.04308,2.84,design_sample_0_cc_e0.1_L1_ipc_r10.npz
12,5,3.298,98.35,97.69,98.82,0.00515,0.023685,3.744,design_sample_0_cc_e0.1_L1_ipc_r05.npz
