rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,2.319,100.0,99.81,100.0,0.007728,0.012761,1.914,design_sample_9907_var_L0_ipc_r00.npz
2,1,3.804,100.0,99.81,100.0,0.007366,0.294252,2.545,design_sample_9907_var_L0_ipc_r01.npz
3,2,2.363,100.0,99.81,100.0,0.00776,0.01297,1.933,design_sample_9907_var_L0_ipc_r02.npz
4,4,2.707,100.0,99.81,100.0,0.003646,0.024187,1.5,design_sample_9907_var_L0_ipc_r04.npz
5,8,2.367,100.0,99.81,100.0,0.00775,0.012964,1.935,design_sample_9907_var_L0_ipc_r08.npz
6,9,2.391,100.0,99.81,100.0,0.007879,0.012894,1.963,design_sample_9907_var_L0_ipc_r09.npz
7,10,2.507,100.0,99.81,100.0,0.00758,0.01316,1.9,design_sample_9907_var_L0_ipc_r10.npz
8,11,2.401,100.0,99.81,100.0,0.007797,0.012839,1.972,design_sample_9907_var_L0_ipc_r11.npz
9,3,2.37,99.95,99.72,99.99,0.007834,0.01298,1.93,design_sample_9907_var_L0_ipc_r03.npz
10,7,2.5,46.45,44.27,48.64,0.002399,0.042506,1.747,design_sample_9907_var_L0_ipc_r07.npz
11,6,2.598,22.45,20.68,24.33,0.004231,0.31292,1.422,design_sample_9907_var_L0_ipc_r06.npz
12,5,4.984,0.0,0.0,0.19,0.001458,0.257118,1.709,design_sample_9907_var_L0_ipc_r05.npz
