rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,2.294,97.05,96.21,97.71,0.00297,0.025128,2.597,design_sample_1260_cc_e0.2_L0.3_ipc_r00.npz
2,1,2.296,97.0,96.16,97.66,0.003098,0.022758,2.538,design_sample_1260_cc_e0.2_L0.3_ipc_r01.npz
3,10,2.127,96.85,95.99,97.53,0.002421,0.030252,2.554,design_sample_1260_cc_e0.2_L0.3_ipc_r10.npz
4,3,2.279,96.7,95.82,97.4,0.003081,0.019344,2.55,design_sample_1260_cc_e0.2_L0.3_ipc_r03.npz
5,11,2.22,96.55,95.66,97.26,0.003051,0.02104,2.57,design_sample_1260_cc_e0.2_L0.3_ipc_r11.npz
6,8,2.346,96.35,95.44,97.09,0.003135,0.021431,2.581,design_sample_1260_cc_e0.2_L0.3_ipc_r08.npz
7,5,2.122,95.65,94.67,96.46,0.002573,0.027458,2.534,design_sample_1260_cc_e0.2_L0.3_ipc_r05.npz
8,2,2.124,95.35,94.34,96.19,0.002635,0.022462,2.569,design_sample_1260_cc_e0.2_L0.3_ipc_r02.npz
9,9,2.112,93.85,92.71,94.82,0.002744,0.01703,2.708,design_sample_1260_cc_e0.2_L0.3_ipc_r09.npz
10,6,2.073,93.55,92.39,94.55,0.002538,0.017016,2.739,design_sample_1260_cc_e0.2_L0.3_ipc_r06.npz
11,7,2.149,93.35,92.17,94.36,0.002734,0.017249,2.683,design_sample_1260_cc_e0.2_L0.3_ipc_r07.npz
12,4,2.106,92.1,90.84,93.2,0.002832,0.017252,2.679,design_sample_1260_cc_e0.2_L0.3_ipc_r04.npz
