rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,10,2.819,99.45,99.02,99.69,0.003675,0.055947,2.646,design_sample_0_cc_e0.05_L0.3_ipc_r10.npz
2,2,5.085,99.25,98.77,99.54,0.013951,0.197262,2.852,design_sample_0_cc_e0.05_L0.3_ipc_r02.npz
3,4,2.457,97.55,96.78,98.14,0.003334,0.022793,2.986,design_sample_0_cc_e0.05_L0.3_ipc_r04.npz
4,3,2.618,94.9,93.85,95.78,0.007525,0.079028,2.769,design_sample_0_cc_e0.05_L0.3_ipc_r03.npz
5,7,2.684,82.25,80.51,83.86,0.007461,0.071987,2.674,design_sample_0_cc_e0.05_L0.3_ipc_r07.npz
6,11,2.765,74.65,72.7,76.51,0.00724,0.087317,2.644,design_sample_0_cc_e0.05_L0.3_ipc_r11.npz
7,9,2.614,33.55,31.51,35.65,0.005707,0.084243,2.689,design_sample_0_cc_e0.05_L0.3_ipc_r09.npz
8,1,2.978,29.35,27.4,31.38,0.00282,0.052104,2.689,design_sample_0_cc_e0.05_L0.3_ipc_r01.npz
9,6,2.621,24.45,22.62,26.38,0.002833,0.033578,2.933,design_sample_0_cc_e0.05_L0.3_ipc_r06.npz
10,0,2.42,1.2,0.81,1.78,0.002829,0.031746,2.926,design_sample_0_cc_e0.05_L0.3_ipc_r00.npz
11,5,3.231,0.1,0.03,0.36,0.002961,0.059565,2.56,design_sample_0_cc_e0.05_L0.3_ipc_r05.npz
12,8,3.163,0.0,0.0,0.19,0.002437,0.14614,2.784,design_sample_0_cc_e0.05_L0.3_ipc_r08.npz
