rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,10,0.543,99.1,98.58,99.43,0.033326,0.023081,0.901,design_sample_5490_wc_L1_ipc_s2_r10.npz
2,9,0.525,98.95,98.4,99.31,0.032521,0.023284,1.0,design_sample_5490_wc_L1_ipc_s2_r09.npz
3,2,0.544,98.75,98.16,99.15,0.033309,0.023081,0.901,design_sample_5490_wc_L1_ipc_s2_r02.npz
4,5,0.561,98.75,98.16,99.15,0.033097,0.024835,1.561,design_sample_5490_wc_L1_ipc_s2_r05.npz
5,4,0.543,98.6,97.98,99.03,0.033329,0.023082,0.901,design_sample_5490_wc_L1_ipc_s2_r04.npz
6,11,0.552,98.4,97.75,98.86,0.033765,0.023212,1.038,design_sample_5490_wc_L1_ipc_s2_r11.npz
7,1,0.691,83.6,81.91,85.16,0.035349,0.019774,0.96,design_sample_5490_wc_L1_ipc_s2_r01.npz
8,6,0.691,82.95,81.24,84.53,0.035392,0.019768,0.961,design_sample_5490_wc_L1_ipc_s2_r06.npz
9,3,0.691,82.25,80.51,83.86,0.035294,0.019767,0.961,design_sample_5490_wc_L1_ipc_s2_r03.npz
10,7,0.692,82.1,80.36,83.72,0.035371,0.019765,0.961,design_sample_5490_wc_L1_ipc_s2_r07.npz
11,8,0.674,81.8,80.05,83.43,0.035162,0.019882,0.907,design_sample_5490_wc_L1_ipc_s2_r08.npz
12,0,0.692,81.35,79.58,83.0,0.035347,0.01976,0.961,design_sample_5490_wc_L1_ipc_s2_r00.npz
