rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,1,2.797,81.45,79.69,83.09,0.014029,0.049234,1.864,design_sample_9678_wc_L1_ipc_r01.npz
2,4,2.645,79.4,77.57,81.12,0.017232,0.021851,1.728,design_sample_9678_wc_L1_ipc_r04.npz
3,8,3.378,79.3,77.47,81.02,0.020203,0.068013,2.139,design_sample_9678_wc_L1_ipc_r08.npz
4,2,3.384,75.5,73.57,77.33,0.014607,0.10012,2.447,design_sample_9678_wc_L1_ipc_r02.npz
5,7,2.37,74.9,72.95,76.75,0.016706,0.033309,2.569,design_sample_9678_wc_L1_ipc_r07.npz
6,11,3.418,74.55,72.6,76.41,0.013513,0.111619,2.734,design_sample_9678_wc_L1_ipc_r11.npz
7,3,2.634,74.35,72.39,76.22,0.012889,0.023094,1.964,design_sample_9678_wc_L1_ipc_r03.npz
8,10,3.19,70.85,68.82,72.8,0.015968,0.034312,2.075,design_sample_9678_wc_L1_ipc_r10.npz
9,0,2.581,64.95,62.83,67.01,0.015787,0.021102,1.999,design_sample_9678_wc_L1_ipc_r00.npz
10,9,3.379,63.0,60.86,65.09,0.013553,0.106546,2.235,design_sample_9678_wc_L1_ipc_r09.npz
11,6,3.564,54.4,52.21,56.57,0.031378,0.151224,2.612,design_sample_9678_wc_L1_ipc_r06.npz
12,5,3.562,1.8,1.3,2.48,0.011519,0.126602,1.961,design_sample_9678_wc_L1_ipc_r05.npz
