rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,2,6.562,100.0,99.81,100.0,0.012924,0.204588,5.508,design_sample_0_cc_e0.05_L1_ipc_r02.npz
2,10,2.869,100.0,99.81,100.0,0.003064,0.080434,3.397,design_sample_0_cc_e0.05_L1_ipc_r10.npz
3,11,3.383,100.0,99.81,100.0,0.005865,0.085864,7.467,design_sample_0_cc_e0.05_L1_ipc_r11.npz
4,4,3.024,99.95,99.72,99.99,0.003502,0.02266,6.802,design_sample_0_cc_e0.05_L1_ipc_r04.npz
5,8,3.744,99.95,99.72,99.99,0.005075,0.120475,8.85,design_sample_0_cc_e0.05_L1_ipc_r08.npz
6,1,2.536,99.35,98.89,99.62,0.002647,0.028422,4.037,design_sample_0_cc_e0.05_L1_ipc_r01.npz
7,7,3.409,99.3,98.83,99.58,0.005926,0.08976,7.581,design_sample_0_cc_e0.05_L1_ipc_r07.npz
8,0,2.849,99.15,98.64,99.47,0.003469,0.020606,5.134,design_sample_0_cc_e0.05_L1_ipc_r00.npz
9,3,3.388,98.95,98.4,99.31,0.005725,0.113473,6.444,design_sample_0_cc_e0.05_L1_ipc_r03.npz
10,6,2.617,81.9,80.15,83.53,0.00257,0.032598,3.616,design_sample_0_cc_e0.05_L1_ipc_r06.npz
11,9,3.132,7.35,6.29,8.58,0.004739,0.120061,5.272,design_sample_0_cc_e0.05_L1_ipc_r09.npz
12,5,3.271,0.1,0.03,0.36,0.002948,0.061627,2.541,design_sample_0_cc_e0.05_L1_ipc_r05.npz
