rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,3,3.711,83.0,81.29,84.58,0.009204,0.039635,3.579,design_sample_441_wc_L1_ipc_r03.npz
2,0,3.227,62.5,60.36,64.6,0.009467,0.01995,3.955,design_sample_441_wc_L1_ipc_r00.npz
3,10,3.424,54.8,52.61,56.97,0.009823,0.021667,3.579,design_sample_441_wc_L1_ipc_r10.npz
4,8,2.807,50.45,48.26,52.64,0.006553,0.019752,3.416,design_sample_441_wc_L1_ipc_r08.npz
5,4,3.152,43.95,41.79,46.13,0.009347,0.021006,3.687,design_sample_441_wc_L1_ipc_r04.npz
6,9,2.855,43.0,40.85,45.18,0.008082,0.020809,2.58,design_sample_441_wc_L1_ipc_r09.npz
7,11,2.815,42.9,40.75,45.08,0.007247,0.021863,3.189,design_sample_441_wc_L1_ipc_r11.npz
8,5,2.675,36.65,34.57,38.79,0.00599,0.026119,3.793,design_sample_441_wc_L1_ipc_r05.npz
9,1,3.187,33.7,31.66,35.8,0.008654,0.020263,3.081,design_sample_441_wc_L1_ipc_r01.npz
10,6,2.775,31.3,29.31,33.37,0.00671,0.049282,4.092,design_sample_441_wc_L1_ipc_r06.npz
11,7,2.679,29.1,27.15,31.13,0.006123,0.018055,2.824,design_sample_441_wc_L1_ipc_r07.npz
12,2,2.512,24.8,22.96,26.74,0.006852,0.025487,4.215,design_sample_441_wc_L1_ipc_r02.npz
