rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,0.605,100.0,99.81,100.0,0.005817,0.016874,0.45,design_sample_2337_var_L0_ipc_r00.npz
2,2,0.604,100.0,99.81,100.0,0.00581,0.01687,0.449,design_sample_2337_var_L0_ipc_r02.npz
3,4,0.605,100.0,99.81,100.0,0.005799,0.016871,0.449,design_sample_2337_var_L0_ipc_r04.npz
4,5,0.607,100.0,99.81,100.0,0.005817,0.016878,0.466,design_sample_2337_var_L0_ipc_r05.npz
5,6,0.624,100.0,99.81,100.0,0.005733,0.016919,0.526,design_sample_2337_var_L0_ipc_r06.npz
6,8,0.604,100.0,99.81,100.0,0.005799,0.016873,0.45,design_sample_2337_var_L0_ipc_r08.npz
7,9,0.606,100.0,99.81,100.0,0.005801,0.016877,0.461,design_sample_2337_var_L0_ipc_r09.npz
8,10,0.605,100.0,99.81,100.0,0.005813,0.016871,0.451,design_sample_2337_var_L0_ipc_r10.npz
9,11,0.608,100.0,99.81,100.0,0.00579,0.016882,0.467,design_sample_2337_var_L0_ipc_r11.npz
10,1,0.609,99.95,99.72,99.99,0.005805,0.016882,0.493,design_sample_2337_var_L0_ipc_r01.npz
11,3,0.604,99.95,99.72,99.99,0.005797,0.016869,0.443,design_sample_2337_var_L0_ipc_r03.npz
12,7,0.604,99.95,99.72,99.99,0.005784,0.016869,0.448,design_sample_2337_var_L0_ipc_r07.npz
