rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,3,0.724,6.2,5.22,7.34,0.001735,0.005482,0.875,design_sample_5275_var_L0_ipc_r03.npz
2,11,0.724,6.2,5.22,7.34,0.001727,0.005481,0.874,design_sample_5275_var_L0_ipc_r11.npz
3,2,0.723,5.95,5.0,7.07,0.001719,0.005482,0.874,design_sample_5275_var_L0_ipc_r02.npz
4,5,0.724,5.8,4.86,6.91,0.001724,0.005482,0.874,design_sample_5275_var_L0_ipc_r05.npz
5,8,0.724,5.8,4.86,6.91,0.001723,0.005481,0.874,design_sample_5275_var_L0_ipc_r08.npz
6,0,0.724,5.65,4.72,6.75,0.001721,0.005481,0.874,design_sample_5275_var_L0_ipc_r00.npz
7,10,0.723,5.45,4.54,6.53,0.001723,0.005482,0.874,design_sample_5275_var_L0_ipc_r10.npz
8,7,0.724,5.2,4.31,6.26,0.001732,0.005482,0.876,design_sample_5275_var_L0_ipc_r07.npz
9,9,0.724,5.0,4.13,6.04,0.001722,0.005482,0.875,design_sample_5275_var_L0_ipc_r09.npz
10,1,0.724,4.9,4.04,5.94,0.001723,0.005482,0.875,design_sample_5275_var_L0_ipc_r01.npz
11,4,0.723,4.85,3.99,5.88,0.001721,0.005482,0.874,design_sample_5275_var_L0_ipc_r04.npz
12,6,2.67,0.0,0.0,0.19,0.002495,0.049221,1.402,design_sample_5275_var_L0_ipc_r06.npz
