rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,1.383,100.0,99.81,100.0,0.007057,0.009737,0.407,design_sample_5369_wc_L1_ipc_r00.npz
2,1,1.382,100.0,99.81,100.0,0.00708,0.009734,0.408,design_sample_5369_wc_L1_ipc_r01.npz
3,2,1.696,100.0,99.81,100.0,0.007884,0.01161,0.794,design_sample_5369_wc_L1_ipc_r02.npz
4,3,1.385,100.0,99.81,100.0,0.007049,0.009737,0.407,design_sample_5369_wc_L1_ipc_r03.npz
5,4,1.382,100.0,99.81,100.0,0.00707,0.009735,0.407,design_sample_5369_wc_L1_ipc_r04.npz
6,6,1.487,100.0,99.81,100.0,0.007552,0.010264,0.568,design_sample_5369_wc_L1_ipc_r06.npz
7,7,1.383,100.0,99.81,100.0,0.006998,0.009731,0.407,design_sample_5369_wc_L1_ipc_r07.npz
8,8,1.676,100.0,99.81,100.0,0.00772,0.013947,0.694,design_sample_5369_wc_L1_ipc_r08.npz
9,9,2.104,100.0,99.81,100.0,0.006649,0.033486,1.669,design_sample_5369_wc_L1_ipc_r09.npz
10,10,1.381,100.0,99.81,100.0,0.007065,0.00974,0.406,design_sample_5369_wc_L1_ipc_r10.npz
11,11,2.369,100.0,99.81,100.0,0.007855,0.048594,0.957,design_sample_5369_wc_L1_ipc_r11.npz
12,5,2.264,99.9,99.64,99.97,0.005642,0.064844,2.047,design_sample_5369_wc_L1_ipc_r05.npz
