rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,2,0.544,100.0,99.81,100.0,0.011829,0.02308,0.901,design_sample_5490_wc_L1_ipc_r02.npz
2,4,0.543,100.0,99.81,100.0,0.011838,0.02308,0.901,design_sample_5490_wc_L1_ipc_r04.npz
3,5,0.571,100.0,99.81,100.0,0.012337,0.023838,1.511,design_sample_5490_wc_L1_ipc_r05.npz
4,9,0.534,100.0,99.81,100.0,0.011433,0.023264,0.88,design_sample_5490_wc_L1_ipc_r09.npz
5,10,0.543,100.0,99.81,100.0,0.011825,0.02308,0.901,design_sample_5490_wc_L1_ipc_r10.npz
6,11,0.518,100.0,99.81,100.0,0.011881,0.023134,0.971,design_sample_5490_wc_L1_ipc_r11.npz
7,1,0.691,99.05,98.52,99.39,0.010866,0.019767,0.96,design_sample_5490_wc_L1_ipc_r01.npz
8,7,0.692,99.05,98.52,99.39,0.010846,0.019772,0.961,design_sample_5490_wc_L1_ipc_r07.npz
9,8,0.691,98.85,98.28,99.23,0.010834,0.019768,0.961,design_sample_5490_wc_L1_ipc_r08.npz
10,6,0.691,98.8,98.22,99.19,0.010871,0.019768,0.961,design_sample_5490_wc_L1_ipc_r06.npz
11,3,0.691,98.7,98.1,99.11,0.010806,0.019772,0.96,design_sample_5490_wc_L1_ipc_r03.npz
12,0,0.691,98.55,97.93,98.99,0.010811,0.019769,0.96,design_sample_5490_wc_L1_ipc_r00.npz
