rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,8,0.901,99.8,99.49,99.92,0.002915,0.011322,1.512,design_sample_7063_var_L0_ipc_r08.npz
2,0,0.902,99.75,99.42,99.89,0.00291,0.011323,1.511,design_sample_7063_var_L0_ipc_r00.npz
3,6,0.901,99.75,99.42,99.89,0.002921,0.011323,1.513,design_sample_7063_var_L0_ipc_r06.npz
4,9,0.902,99.65,99.28,99.83,0.002908,0.011324,1.511,design_sample_7063_var_L0_ipc_r09.npz
5,10,0.901,99.6,99.21,99.8,0.002912,0.011322,1.512,design_sample_7063_var_L0_ipc_r10.npz
6,11,0.902,99.6,99.21,99.8,0.002911,0.011322,1.512,design_sample_7063_var_L0_ipc_r11.npz
7,2,0.902,99.55,99.15,99.76,0.002908,0.011324,1.512,design_sample_7063_var_L0_ipc_r02.npz
8,7,0.902,99.55,99.15,99.76,0.002897,0.011322,1.512,design_sample_7063_var_L0_ipc_r07.npz
9,4,0.901,99.5,99.08,99.73,0.002921,0.011322,1.512,design_sample_7063_var_L0_ipc_r04.npz
10,5,0.901,99.5,99.08,99.73,0.002922,0.011322,1.513,design_sample_7063_var_L0_ipc_r05.npz
11,1,0.901,99.4,98.95,99.66,0.002919,0.011324,1.512,design_sample_7063_var_L0_ipc_r01.npz
12,3,0.902,99.35,98.89,99.62,0.002906,0.011324,1.511,design_sample_7063_var_L0_ipc_r03.npz
