rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,1,3.027,99.65,99.28,99.83,0.002902,0.029643,2.645,design_sample_1260_cc_e0.1_L0.3_ipc_r01.npz
2,0,2.622,99.15,98.64,99.47,0.002468,0.029447,2.944,design_sample_1260_cc_e0.1_L0.3_ipc_r00.npz
3,10,2.761,99.05,98.52,99.39,0.002282,0.033317,2.757,design_sample_1260_cc_e0.1_L0.3_ipc_r10.npz
4,5,2.685,98.85,98.28,99.23,0.002356,0.031787,2.765,design_sample_1260_cc_e0.1_L0.3_ipc_r05.npz
5,3,3.018,98.5,97.87,98.95,0.002972,0.030894,2.701,design_sample_1260_cc_e0.1_L0.3_ipc_r03.npz
6,8,2.709,98.45,97.81,98.91,0.002408,0.019386,2.949,design_sample_1260_cc_e0.1_L0.3_ipc_r08.npz
7,11,2.547,98.35,97.69,98.82,0.002645,0.022555,2.95,design_sample_1260_cc_e0.1_L0.3_ipc_r11.npz
8,6,2.266,98.3,97.63,98.78,0.002003,0.019001,3.08,design_sample_1260_cc_e0.1_L0.3_ipc_r06.npz
9,9,2.337,97.85,97.12,98.4,0.002063,0.018509,3.092,design_sample_1260_cc_e0.1_L0.3_ipc_r09.npz
10,7,2.675,97.65,96.89,98.23,0.002194,0.022851,2.956,design_sample_1260_cc_e0.1_L0.3_ipc_r07.npz
11,4,2.279,97.35,96.55,97.97,0.002032,0.018995,3.064,design_sample_1260_cc_e0.1_L0.3_ipc_r04.npz
12,2,1.976,95.75,94.77,96.55,0.001872,0.022044,3.076,design_sample_1260_cc_e0.1_L0.3_ipc_r02.npz
