rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,0,1.03,100.0,99.81,100.0,0.011031,0.019953,0.917,design_sample_2701_var_L0_ipc_r00.npz
2,1,1.031,100.0,99.81,100.0,0.011099,0.019943,0.917,design_sample_2701_var_L0_ipc_r01.npz
3,2,1.034,100.0,99.81,100.0,0.01109,0.019957,0.916,design_sample_2701_var_L0_ipc_r02.npz
4,3,1.414,100.0,99.81,100.0,0.008219,0.031566,1.604,design_sample_2701_var_L0_ipc_r03.npz
5,4,1.035,100.0,99.81,100.0,0.011139,0.019959,0.916,design_sample_2701_var_L0_ipc_r04.npz
6,5,1.344,100.0,99.81,100.0,0.010407,0.020147,0.767,design_sample_2701_var_L0_ipc_r05.npz
7,6,0.851,100.0,99.81,100.0,0.01045,0.02035,0.944,design_sample_2701_var_L0_ipc_r06.npz
8,7,1.602,100.0,99.81,100.0,0.008256,0.021028,0.951,design_sample_2701_var_L0_ipc_r07.npz
9,8,1.035,100.0,99.81,100.0,0.011087,0.019951,0.916,design_sample_2701_var_L0_ipc_r08.npz
10,9,1.404,100.0,99.81,100.0,0.009947,0.021173,0.745,design_sample_2701_var_L0_ipc_r09.npz
11,10,1.035,100.0,99.81,100.0,0.011078,0.019954,0.916,design_sample_2701_var_L0_ipc_r10.npz
12,11,1.062,100.0,99.81,100.0,0.011084,0.019967,0.91,design_sample_2701_var_L0_ipc_r11.npz
