rank,restart,fit_eye_dB,yield_pct,yield_lo,yield_hi,sensitivity,fit_full_loss,max_abs_xnorm,npz
1,1,4.711,0.0,0.0,0.19,0.003114,0.035022,3.079,design_sample_8785_wc_L1_ipc_r01.npz
2,2,4.074,0.0,0.0,0.19,0.002679,0.028103,2.681,design_sample_8785_wc_L1_ipc_r02.npz
3,3,4.056,0.0,0.0,0.19,0.002346,0.023424,3.679,design_sample_8785_wc_L1_ipc_r03.npz
4,4,4.531,0.0,0.0,0.19,0.003055,0.041087,2.277,design_sample_8785_wc_L1_ipc_r04.npz
5,5,3.895,0.0,0.0,0.19,0.001844,0.023071,5.442,design_sample_8785_wc_L1_ipc_r05.npz
6,6,2.723,0.0,0.0,0.19,0.002325,0.01234,3.667,design_sample_8785_wc_L1_ipc_r06.npz
7,7,4.03,0.0,0.0,0.19,0.001765,0.028498,4.449,design_sample_8785_wc_L1_ipc_r07.npz
8,8,3.455,0.0,0.0,0.19,0.00314,0.02638,4.121,design_sample_8785_wc_L1_ipc_r08.npz
9,9,3.278,0.0,0.0,0.19,0.001946,0.023704,5.193,design_sample_8785_wc_L1_ipc_r09.npz
10,10,3.351,0.0,0.0,0.19,0.002784,0.014627,3.916,design_sample_8785_wc_L1_ipc_r10.npz
11,11,3.214,0.0,0.0,0.19,0.002951,0.01605,3.989,design_sample_8785_wc_L1_ipc_r11.npz
