epoch,train_loss,val_loss,train_mae_sdd11_db,train_mae_sdd21_db,val_mae_sdd11_db,val_mae_sdd21_db,lr,delta_scale,epoch_time_s
1,3.7176339105444884,0.007128556149636691,8.185317101658125,16.758881535366278,6.063376154561788,15.658138427617311,0.0004999143312438893,0.5820600986480713,6.93684458732605
2,0.0068655761898675245,0.0049792846020054096,5.950898463636223,15.43804349447483,5.455275112676203,17.030509801537477,0.0004996573836886434,0.5943470001220703,5.548620223999023
3,0.005804556223998788,0.005700446936981513,5.901941682652247,15.659811896036555,5.582998572776805,14.425977368128665,0.000499229333433282,0.6030767560005188,6.14860200881958
4,0.0055169053464340255,0.005163678841703694,5.866437386769641,15.475417916568508,5.456951177794899,16.170843866166138,0.0004986304738420682,0.6116395592689514,6.151397466659546
5,0.005339965157248713,0.005406372780344796,5.844231122862299,15.611755849359172,5.754885627449302,13.665323908216621,0.0004978612153434525,0.6199722290039062,6.153016805648804
6,0.005219805548218728,0.005233842165537937,5.849871882001185,15.485449850570845,5.826626803611089,14.936616321930368,0.0004969220851487844,0.6282526850700378,6.119363069534302
7,0.005089963275583646,0.0051004016635387665,5.873478217516418,15.581783107717346,5.064833989349691,16.746757088545692,0.0004958137268909886,0.635555624961853,5.496222734451294
8,0.005156085438550004,0.004826069248979249,5.909182020343687,15.762303413669466,5.417936503148941,16.28340442676432,0.0004945369001834513,0.6460623145103455,6.13948392868042
9,0.004926502566218369,0.004883576501518652,5.906995314010857,15.727671313398043,5.025565376924071,16.757004937527988,0.000493092480099419,0.6513568758964539,6.159104824066162
10,0.0049864004588013175,0.00487799094470632,5.915065171146073,15.720761535087403,5.978544387995173,16.994404729234944,0.0004914814565722669,0.6589226126670837,6.132705926895142
11,0.004879306026781006,0.004830392725922662,5.941739325908525,15.819589637386665,5.86053586812867,16.667584053402486,0.0004897049337170481,0.6646008491516113,6.144729137420654
12,0.004906412747347918,0.00497261673422079,5.891845868765577,15.801583016898501,5.723681485001649,17.028919869958028,0.00048776412907378824,0.6709811091423035,5.492743492126465
13,0.004907875929066461,0.004827908467107506,5.997191145291807,15.842022477970207,5.552181226220119,17.051020177777843,0.0004856603727730445,0.6782451272010803,6.133467674255371
14,0.004906348626520321,0.004824016927926295,5.883429681789719,15.908435251447003,5.237697931625117,15.434134461700943,0.0004833951066243003,0.6863422989845276,6.1324992179870605
15,0.004884788075151511,0.00500880575347806,5.917487733452195,16.007961972183992,5.756564177788846,15.793409571814841,0.00048096988312782156,0.6935640573501587,6.279252052307129
16,0.004830144214174914,0.004853665809024819,5.849367482461734,15.851924178443559,5.7474309498052145,15.842856763669367,0.00047838636441065006,0.6997783184051514,6.342655181884766
17,0.004829556089507213,0.004864236290965822,5.856281826039753,15.977555285053699,5.971282218702052,15.92829246751602,0.0004756463210874651,0.7070146203041077,6.319671154022217
18,0.004811871113460994,0.004965180466214977,5.79429766732479,15.794296317066596,5.640759633998466,17.573564651483025,0.00047275163104709185,0.7139361500740051,6.357351779937744
19,0.004777138660212621,0.004958825840744545,5.632565605746802,15.665421695441754,5.927627524836356,16.412760036881338,0.0004697042781654912,0.722135066986084,6.336992263793945
20,0.004667089658986867,0.00493832978752438,5.296883989965847,15.588754029941997,6.073925004513413,15.85267970470747,0.0004665063509461096,0.7296118140220642,6.373019218444824
21,0.004630961484042342,0.005063819069131275,5.132655967866742,15.673819226422648,5.983362100023628,14.843818771815254,0.00046316004108852294,0.7381694316864014,6.335643768310547
22,0.004594817512654014,0.004931564714405504,5.059550001040774,15.69668213378632,5.945723183254201,16.371353276456556,0.0004596676419863559,0.7463718056678772,5.943158149719238
23,0.004581278449637087,0.0049016304502409415,5.035266815678231,15.850201013931613,5.962441252500479,16.408650272066385,0.0004560315471555038,0.7557046413421631,7.360769033432007
24,0.004563901618519116,0.005010819562877623,5.034404990691961,15.748056527795889,5.9710833416532685,16.836435820046926,0.00045225424859373677,0.7642055749893188,7.354398250579834
25,0.00453872288796962,0.005027805639820501,5.047663478716682,15.880337675145134,6.127698140852357,15.885481276295723,0.0004483383350728087,0.7731471061706543,7.28872275352478
26,0.004533417998353814,0.004851170484179087,5.057359957986139,15.99233840940773,5.954696520005385,16.138023937184908,0.00044428649036424265,0.7849982380867004,7.365541696548462
27,0.004493017462309439,0.004919538482161295,5.065322917049555,16.07612130468995,6.313401119851307,16.195619951650052,0.0004401014914000077,0.7921248078346252,6.705232381820679
28,0.00447784246547346,0.004920556892879255,5.057051547408491,16.09860763000922,6.091012731530537,15.979883251339912,0.0004357862063693485,0.8003479838371277,7.29416561126709
29,0.004447007405932257,0.005076959063222765,5.101532583351338,16.069091329743937,5.991337480035198,15.8451123586248,0.0004313435927530718,0.8090693354606628,7.355125665664673
