epoch,train_loss,val_loss,train_mae_sdd11_db,train_mae_sdd21_db,val_mae_sdd11_db,val_mae_sdd21_db,val_recip_max,val_passivity_max_sigma,lr,delta_scale,epoch_time_s
1,111.65171351253345,23.91918822132652,31.392618963258684,35.80978688353788,24.94650985754057,30.701374713460183,0.0,38.83472225247678,0.000375,0.5031861662864685,0.9493856430053711
2,16.176000562151625,9.607225575130338,21.249778138102982,25.894957837623505,19.667924881449945,23.610793393713625,0.0,15.323643758540051,0.00012500000000000006,0.5054242610931396,0.3892030715942383
3,7.709692718172094,6.30923154099823,16.44395647685597,18.565583329204348,15.061702050136422,18.90639716036592,0.0,9.356576616311555,0.0,0.5061013102531433,0.359036922454834
